long,lat,linea,estacion,numero_de_,destino_bo,calle,altura,barrio,dom_orig
-58.393183907718296,-34.5995514105554,D,CALLAO,1,Salida únicamente,Córdoba,1807,Recoleta,Córdoba 1807
-58.3978367172056,-34.599631935904696,D,FACULTAD DE MEDICINA,1,Salida únicamente,Córdoba,2160,Balvanera,Córdoba 2160
-58.4025996493511,-34.594271800573104,D,PUEYRREDON,1,a Catedral y Congreso de Tucumán,Santa Fe,2517,Recoleta,Santa Fe 2517
-58.4072064964015,-34.5914367326655,D,AGÜERO,1,a Catedral y Congreso de Tucumán,Santa Fe,2915,Recoleta,Santa Fe 2915
-58.4113153197248,-34.5880933931455,D,BULNES,1,a Catedral,Santa Fe,3295,Palermo,Santa Fe 3295
-58.4159890964988,-34.5849933355491,D,R.SCALABRINI ORTIZ,1,a Catedral,Santa Fe,3711,Palermo,Santa Fe 3711
-58.4214856326109,-34.5811281796147,D,PLAZA ITALIA,1,a Catedral y Congreso de Tucumán,Santa Fe,4195,Palermo,Santa Fe 4195
-58.4258330284275,-34.578207655852104,D,PALERMO,1,a Catedral y Congreso de Tucumán,Santa Fe,4719,Palermo,Santa Fe 4719
-58.44448550163,-34.5699784014409,D,OLLEROS,1,a Catedral y Congreso de Tucumán,Cabildo,759,Palermo,Cabildo 759
-58.4522957737519,-34.565953316621396,D,JOSE HERNANDEZ,1,Salida únicamente,Cabildo,1621,Belgrano,Cabildo 1621
-58.45634761804,-34.5621971792245,D,JURAMENTO,1,Salida únicamente,Cabildo,2077,Belgrano,Cabildo 2077
-58.4620603352118,-34.5556976113423,D,CONGRESO DE TUCUMAN,1,a Catedral,Cabildo,2869,Belgrano,Cabildo 2869
-58.373422273533,-34.6091738071059,E,BOLIVAR,1,a Plaza de los Virreyes,Hipólito Yrigoyen,500,Monserrat,Hipólito Yrigoyen 500
-58.37815754819611,-34.612790212171895,E,BELGRANO,1,a Retiro y Plaza de los Virreyes,Belgrano,835,Monserrat,Belgrano 835
-58.385350304459294,-34.622264228627,E,SAN JOSE,1,a Retiro y Plaza de los Virreyes,San Juan,1369,Constitucion,San Juan 1369
-58.4030860436761,-34.623791894285695,E,JUJUY,1,a Retiro y Plaza de los Virreyes,San Juan,2743,San Cristobal,San Juan 2743
-58.4098655565043,-34.6246179229059,E,URQUIZA,1,a Retiro y Plaza de los Virreyes,San Juan,3161,San Cristobal,San Juan 3161
-58.4162345821305,-34.6251784064491,E,BOEDO,1,a Retiro y Plaza de los Virreyes,Boedo,981,Boedo,Boedo 981
-58.427013301814604,-34.6269415966411,E,AV. LA PLATA,1,a Retiro y Plaza de los Virreyes,Directorio,11,Caballito,Directorio 11
