Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Villa Crespo,-34.59839470000001,-58.4424743,Lo de Carlitos,-34.60115781229565,-58.44095977755312,Creperie
Villa Crespo,-34.59839470000001,-58.4424743,Willie Reeb,-34.59485300414131,-58.44005900691177,Beer Bar
Villa Crespo,-34.59839470000001,-58.4424743,Lo de Fede,-34.596878,-58.44217,Argentinian Restaurant
Villa Crespo,-34.59839470000001,-58.4424743,La Milonga de Oliverio,-34.598525269989594,-58.438261873992325,Dance Studio
Villa Crespo,-34.59839470000001,-58.4424743,Shami Shawarma,-34.5957876952006,-58.43933586644506,Middle Eastern Restaurant
Villa Crespo,-34.59839470000001,-58.4424743,Defamily,-34.60231916222703,-58.44396455899804,Café
Villa Crespo,-34.59839470000001,-58.4424743,Ristretto,-34.595599,-58.439271,Café
Villa Crespo,-34.59839470000001,-58.4424743,Havanna,-34.599632570903694,-58.43835842780572,Café
Villa Crespo,-34.59839470000001,-58.4424743,PoloCel,-34.599443679251735,-58.44007730484009,Mobile Phone Shop
Villa Crespo,-34.59839470000001,-58.4424743,Megatlon,-34.59551981878356,-58.44459841094912,Gym
Villa Crespo,-34.59839470000001,-58.4424743,Pizzería Imperio,-34.599849920556316,-58.43902587890625,Pizza Place
Villa Crespo,-34.59839470000001,-58.4424743,GymShow,-34.59943492107464,-58.43942953898932,Gym / Fitness Center
Villa Crespo,-34.59839470000001,-58.4424743,MAZZO,-34.595744647420624,-58.43914907438156,Coffee Shop
Villa Crespo,-34.59839470000001,-58.4424743,il Vero Amaretto,-34.596271631443905,-58.44239794221904,Ice Cream Shop
Villa Crespo,-34.59839470000001,-58.4424743,Whoopies Pastelería,-34.59494543639262,-58.439947700010805,Coffee Shop
Villa Crespo,-34.59839470000001,-58.4424743,La Unica Parrilla,-34.59693546091154,-58.44195757203464,Argentinian Restaurant
Villa Crespo,-34.59839470000001,-58.4424743,Plazoleta Osvaldo Pugliese,-34.60001329965118,-58.43852162361145,Plaza
Villa Crespo,-34.59839470000001,-58.4424743,Il Migliore,-34.59902279541558,-58.44185812535018,Pizza Place
Villa Crespo,-34.59839470000001,-58.4424743,Punta Serrano,-34.59627445212056,-58.44252243540432,Argentinian Restaurant
Villa Crespo,-34.59839470000001,-58.4424743,De Niro Hamburguesas,-34.602574,-58.441417,Burger Joint
Villa Crespo,-34.59839470000001,-58.4424743,Subway,-34.59499970581365,-58.44434339537568,Sandwich Place
Villa Crespo,-34.59839470000001,-58.4424743,La Continental,-34.59642951153295,-58.442615755252106,Pizza Place
