Neighborhood,comuna,perimetro,area,Latitude,Longitude,poblacion,Total_delitos,Delitos/Pob,Size,Rent,Price/Mts2,subway stations
Chacarita,15,7724.85,-0.4096481704140108,-34.588010700000005,-58.4541562,-0.6696941727263349,-0.47162242457714126,0.25244122308680295,0.0016838119065431794,0.0831789491169154,0.1961325518225887,0.21459005432586345
La Paternal,15,7087.51,-0.7316533055164581,-34.597739700000005,-58.4701995,-0.8357015804364872,-0.8500751547665788,-0.46033399504064176,-0.2963508955516168,-0.17914387286933126,-0.07933355978628237,-0.5483968054994288
Villa Crespo,15,8131.86,-0.22780638261403258,-34.59839470000001,-58.4424743,0.44881272472205364,0.33689022628211174,-0.10394638597691942,0.011786683345802974,-0.20829955012073106,-0.25486568448204655,-0.16690337558678267
Villa del Parque,11,7705.39,-0.306458390103965,-34.6047975,-58.4938209,-0.10191746947898139,-0.5385206344591126,-0.816721604104364,-0.33171094558902536,-0.2547072165749086,-0.1469244181776299,-0.5483968054994288
Almagro,5,8537.9,-0.06977144986959145,-34.6099883,-58.4222331,1.4753180031286897,1.1826747369327488,-0.10394638597691942,-0.2963508955516168,-0.24259722253361604,-0.18774584252548193,1.359070344063802
Caballito,6,10990.96,0.9480926158351722,-34.6200773,-58.44248929999999,2.3911447972551727,1.2056112660351388,-0.46033399504064176,-0.4529454028601411,-0.27786212900427737,-0.17086775361242787,1.359070344063802
Villa Santa Rita,11,5757.75,-0.7593285560628537,-34.6160781,-58.4827416,-0.5548675669954438,-0.6866523849120489,-0.46033399504064176,1.279697048972889,-0.057111921372988456,-0.3467138892647137,-0.5483968054994288
Monte Castro,10,7361.04,-0.5871118776652362,-34.6188385,-58.50594649999999,-0.5487176157898713,-0.726313466484932,-0.46033399504064176,-0.892420310467936,-0.47901047185774015,-0.4519075596995634,-0.5483968054994288
Villa Real,10,5070.97,-1.0572223830623304,-34.618943200000004,-58.5258765,-0.9656760525596274,-1.0015518157136138,-0.46033399504064176,-0.4377910957012518,-0.40505899855017974,-0.497831662090897,-0.5483968054994288
Flores,7,15772.44,1.5804709614663093,-34.6282028,-58.4622184,2.1483249117358225,1.471292728137825,-0.46033399504064176,-0.26604228123383744,-0.3238644517059184,-0.3639844918734205,1.359070344063802
Floresta,10,7519.65,-0.6986444326166632,-34.6281055,-58.4837914,-0.4671585313455001,-0.42240445587826236,-0.10394638597691942,0.17848406209358708,-0.2440173234045709,-0.428356737960418,-0.5483968054994288
Constitución,1,6326.84,-0.7781193091688346,-34.624246,-58.3836324,-0.33235490290657477,0.5509644979044198,1.3216040502779698,-0.46809971001903045,-0.5209453796632407,-0.7090040303519013,-0.5483968054994288
San Cristóbal,3,5987.23,-0.7993047398476192,-34.6240603,-58.40238960000001,-0.23940396253778734,-0.25945953038003233,-0.10394638597691942,-0.084190595327164,-0.3613461691818302,-0.49076641556915357,0.21459005432586345
Boedo,5,6602.51,-0.5935203164361413,-34.6302518,-58.41879,-0.2663357958373583,-0.30246552244701386,-0.10394638597691942,-0.599437038729406,-0.3287537360037533,-0.2313148627429011,-0.16690337558678267
Vélez Sarsfield,10,7045.58,-0.6696099698160848,-34.631196100000004,-58.4925556,-0.5186282572069024,-0.6861745405557492,-0.46033399504064176,-0.4377910957012518,-0.40505899855017974,-0.497831662090897,-0.5483968054994288
Villa Luro,10,8652.93,-0.6091189997084916,-34.63707470000001,-58.5015075,-0.5718521637813035,-0.7148452019337369,-0.46033399504064176,-0.6044884744490359,-0.4921492003882283,-0.6132306886127098,-0.5483968054994288
Parque Patricios,4,7878.43,-0.18147544708316632,-34.6374817,-58.401238600000006,-0.3967849286240158,-0.269494261862328,0.25244122308680295,-0.867163131869787,-0.47901047185774015,-0.4358144981778142,0.9775769141511557
Mataderos,9,11124.64,1.1469744835645832,-34.6578631,-58.50176170000001,0.08718321138229732,0.027724927756144425,-0.10394638597691942,-0.003367623813086359,-0.45505046287160955,-0.7305922836127846,-0.5483968054994288
Villa Lugano,8,15057.47,1.8368594840796837,-34.6741532,-58.4776892,1.3654237408143484,0.6689920539104692,-0.46033399504064176,-0.5539741172527376,-0.5636742021288814,-0.8063474268737025,-0.5483968054994288
San Telmo,1,5178.03,-1.0942529520806834,-34.621401299999995,-58.37375,-0.8205124392039324,-0.4032906816262706,1.3216040502779698,-0.20542505259827937,-0.23673511322969398,-0.18892338361243927,-0.5483968054994288
Saavedra,12,11132.14,0.4710697406079426,-34.5525291,-58.4862759,-0.2046505470002567,-0.29099725789581876,-0.10394638597691942,-0.629745653047185,-0.14355357320697873,0.22321599682260587,-0.5483968054994288
Coghlan,12,4627.56,-1.0769214537464,-34.559909600000005,-58.4747142,-0.858671029066696,-0.937998516325741,-0.46033399504064176,-0.12460208108420245,-0.09113843279279726,-0.011899706873196102,-0.5483968054994288
Villa Urquiza,12,10021.46,0.438494798447562,-34.5732414,-58.49147850000001,0.6470145078707735,0.03823750359473991,-0.46033399504064176,-0.4984083243368095,-0.159375956926673,0.13215281943124374,0.21459005432586345
Colegiales,13,6374.62,-0.7098640539254539,-34.5745154,-58.4522819,-0.15809252713525127,-0.46397691487634457,-0.46033399504064176,0.3249756979628523,0.4193598755739314,0.403772296822721,-0.5483968054994288
Balvanera,3,8375.82,0.03619518547852418,-34.609215500000005,-58.40313960000001,1.6244646385738999,3.249351577929362,0.9652164412142477,-0.6499513959257043,-0.3277445698336456,1.4898576926929787,4.029524353452325
Villa General Mitre,11,6290.44,-0.7562082712700395,-34.6103098,-58.4693142,-0.5262228278231799,-0.6594152566029606,-0.46033399504064176,3.9923180304141055,0.2478128085522429,-0.6779954483953599,-0.5483968054994288
Parque Chas,15,4531.25,-1.0385880674765615,-34.585511100000005,-58.4793049,-0.8816817525372107,-0.9351314501879423,-0.46033399504064176,-0.5893341672901465,-0.37650882100084454,-0.3416112112212324,-0.5483968054994288
