Mts^2, Ambientes, Address, Neighborhood, City, Price
 120 m² cubiertos , 3 ambs. , Felipe Vallese 2751 , Floresta , Capital Federal ,57900
 93 m² cubiertos , 3 ambs. , Castañeda 2020 , Belgrano Chico , Capital Federal ,2200
 75 m² cubiertos , 3 ambs. , Guemes al 3300 , Palermo , Capital Federal ,1950
 74 m² cubiertos , 3 ambs. , Uriarte 2363 , Palermo Hollywood , Capital Federal ,1200
 55 m² cubiertos , 3 ambs. , Terrada 921 , Floresta , Capital Federal ,26000
 60 m² cubiertos , 3 ambs. , CIUDAD DE LA PAZ al 2100 , Belgrano , Capital Federal ,25000
 136 m² cubiertos , 3 ambs. , Macacha Güemes al 300 , Puerto Madero , Capital Federal ,2500
 68 m² cubiertos , 3 ambs. , DR. PEDRO IGNACIO RIVERA 4785 , Villa Urquiza , Capital Federal ,36050
 200 m² cubiertos , 3 ambs. , Olga Cossettini al 100 , Puerto Madero , Capital Federal ,2900
 54 m² cubiertos , 3 ambs. , Alquiler Departamento 3 Ambientes , Belgrano , Capital Federal ,30000
 120 m² cubiertos , 4 ambs. , QUINTANA MANUEL PRES. AV 80 , Recoleta , Capital Federal ,50000
 75 m² cubiertos , 3 ambs. , Juncal 4690 , Palermo , Capital Federal ,1500
 148 m² cubiertos , 3 ambs. , Live Hotel, Palermo Hollywood , Capital Federal ,2900
 58 m² cubiertos , 3 ambs. , Galicia al 1100 , Caballito , Capital Federal ,22000
 110 m² cubiertos , 4 ambs. , Congreso 2700 , Núñez , Capital Federal ,60000
 120 m² cubiertos , 3 ambs. , Felipe Vallese 2751 , Flores , Capital Federal ,57900
 64 m² cubiertos , 3 ambs. , Santos Dumont al 2300 , Belgrano , Capital Federal ,50000
 70 m² cubiertos , 3 ambs. , Ruggeri al 2900 , Palermo Chico , Capital Federal ,55000
 59 m² cubiertos , 3 ambs. , Amenabar 2800 , Belgrano , Capital Federal ,29000
 64 m² cubiertos , 3 ambs. , GUEMES al 4200 , Palermo Soho , Capital Federal ,25000
 61 m² cubiertos , 3 ambs. , Pacheco al 2800 , Villa Urquiza , Capital Federal ,35000
 53 m² cubiertos , 3 ambs. , Scalabrini Ortiz 34 Piso 9 Dpto 17 , Villa Crespo , Capital Federal ,25000
 52 m² cubiertos , 3 ambs. , O Higgins al 2100 , Belgrano Barrancas , Capital Federal ,30000
 90 m² cubiertos , 3 ambs. , Avenida Lacroze al 1800 , Belgrano Barrancas , Capital Federal ,50000
 78 m² cubiertos , 3 ambs. , RIVADAVIA 4986 , Caballito , Capital Federal ,27000
 71 m² cubiertos , 3 ambs. , AV. Rivadavia 4620 , Caballito , Capital Federal ,35000
 75 m² cubiertos , 3 ambs. , Humboldt 2100 , Palermo , Capital Federal ,1900
 63 m² cubiertos , 3 ambs. , Navarro al 3400 , Villa Devoto , Capital Federal ,32000
 191 m² cubiertos , 3 ambs. , Azucena Villaflor al 600 , Puerto Madero , Capital Federal ,4000
 65 m² cubiertos , 3 ambs. , Beruti al 3400 , Palermo , Capital Federal ,55000
 73 m² cubiertos , 3 ambs. , SANTA FE AV. 2669 , Barrio Norte , Capital Federal ,27000
 90 m² cubiertos , 3 ambs. , Cerviño 4600 , Palermo , Capital Federal ,200000
 90 m² cubiertos , 3 ambs. , Arenales 3700 7° , Palermo , Capital Federal ,40000
 113 m² cubiertos , 3 ambs. , Sucre AL al 700 , Belgrano , Capital Federal ,2000
 78 m² cubiertos , 3 ambs. , ANCHORENA al 1400 , Barrio Norte , Capital Federal ,28000
 136 m² cubiertos , 3 ambs. , Excelente 3 Ambientes en Alquiler en Torre LE Parc , Puerto Madero , Capital Federal ,2700
 44 m² cubiertos , 3 ambs. , Mansilla 2900, Barrio Norte , Capital Federal ,28000
 75 m² cubiertos , 3 ambs. , Fray Justo Santamaria de Oro al 2900 , Palermo Chico , Capital Federal ,38000
 175 m² totales , 3 ambs. , Av. del Libertador al 300 , Recoleta , Capital Federal ,3000
 65 m² cubiertos , 3 ambs. , Conesa al 2100 Entre Juramento y Mendoza , Belgrano R , Capital Federal ,29500
 122 m² cubiertos , 3 ambs. , Juana Manso al 700 , Puerto Madero , Capital Federal ,2000
 190 m² cubiertos , 3 ambs. , Marta Linch al 400 , Puerto Madero , Capital Federal ,4000
 64 m² cubiertos , 3 ambs. , Mansilla al 3000 , Barrio Norte , Capital Federal ,700
 110 m² cubiertos , 3 ambs. , Ciudad de la Paz 2400 , Belgrano , Capital Federal ,65000
 85 m² cubiertos , 3 ambs. , Cañada de Gómez 1900 , Mataderos , Capital Federal ,26000
 190 m² cubiertos , 4 ambs. , Azucena Villaflor al 600 , Puerto Madero , Capital Federal ,3500
 146 m² cubiertos , 3 ambs. , Av Libertador al 3500 , Palermo , Capital Federal ,110000
 124 m² cubiertos , 4 ambs. , QUINTANA MANUEL PRES. AV 100 1, Barrio Norte , Capital Federal ,50000
