Mts^2, Ambientes, Address, Neighborhood, City, Price
 120 m² cubiertos , 3 ambs. , Del Libertador al 900 y Callao , Recoleta , Capital Federal ,57500
 115 m² cubiertos , 3 ambs. , Posadas al 1100 y Cerrito , Recoleta , Capital Federal ,1000
 95 m² cubiertos , 3 ambs. , Segui 4700 , Palermo Chico , Capital Federal ,1700
 120 m² cubiertos , 3 ambs. , Migueletes al 800 , Las Cañitas , Capital Federal ,2500
 91 m² cubiertos , 3 ambs. , Av. Del Libertador 5500 , Belgrano Chico , Capital Federal ,76000
 100 m² cubiertos , 3 ambs. , Ramsay 1800 , Belgrano Chico , Capital Federal ,1600
 140 m² cubiertos , 3 ambs. , Aimé Painé al 1100 , Puerto Madero , Capital Federal ,4500
 152 m² cubiertos , 3 ambs. , Juana Manso al 1000, Puerto Madero , Capital Federal ,2680
 200 m² cubiertos , 4 ambs. , sinclair al 3200 , Palermo Chico , Capital Federal ,2700
 180 m² cubiertos , 3 ambs. , LANTERI JULIETA al 1200 , Puerto Madero , Capital Federal ,3200
 128 m² cubiertos , 3 ambs. , Azucena Villaflor al 400 , Puerto Madero , Capital Federal ,2000
 110 m² cubiertos , 3 ambs. , Juana Manso al 400 , Puerto Madero , Capital Federal ,1300
 123 m² cubiertos , 3 ambs. , Esmeralda al 1300 , Retiro , Capital Federal ,1100
 78 m² cubiertos , 3 ambs. , BULNES al 2700 , Palermo , Capital Federal ,1700
 80 m² cubiertos , 3 ambs. , Cabrera 3500 1° , Palermo Viejo , Capital Federal ,35000
 62 m² cubiertos , 3 ambs. , Quirno al 300 , Flores , Capital Federal ,35000
 74 m² cubiertos , 3 ambs. , Edificio Brisas Torre Juana Manso , Puerto Madero , Capital Federal ,1400
 90 m² cubiertos , 3 ambs. , Juana Manso al 500 , Puerto Madero , Capital Federal ,2500
 172 m² cubiertos , 4 ambs. , FIGUEROA ALCORTA al 3700 , Palermo , Capital Federal ,2200
 68 m² totales , 3 ambs. , Ombu al 2900 , Palermo Chico , Capital Federal ,1500
 110 m² cubiertos , 3 ambs. , Virrey del Pino al 2100 , Belgrano , Capital Federal ,1000
 124 m² cubiertos , 3 ambs. , Juana Manso 1500 , Puerto Madero , Capital Federal ,2000
 106 m² cubiertos , 3 ambs. , Av. Juana Manso , Puerto Madero , Capital Federal ,1200
 117 m² cubiertos , 3 ambs. , Martha SALOTTI al al 400 , Puerto Madero , Capital Federal ,2000
 143 m² cubiertos , 3 ambs. , Eyle  Petrona al 300  , Puerto Madero , Capital Federal ,5500
 78 m² cubiertos , 3 ambs. , Azucena Villaflor 300 , Puerto Madero , Capital Federal ,1400
 95 m² cubiertos , 4 ambs. , Ayacucho al 1500 , Recoleta , Capital Federal ,2000
 80 m² cubiertos , 3 ambs. , MIGUELETES al 500 , Las Cañitas , Capital Federal ,1500
 72 m² cubiertos , 3 ambs. , Sinclair al 3200 , Palermo , Capital Federal ,1300
 80 m² cubiertos , 3 ambs. , Niceto Vega 5800 , Palermo Hollywood , Capital Federal ,1250
 110 m² cubiertos , 4 ambs. , Riobamba al 1000 , Recoleta , Capital Federal ,80000
 110 m² cubiertos , 3 ambs. , Juana Manso 500 , Puerto Madero , Capital Federal ,1350
 67 m² cubiertos , 3 ambs. , Migueletes al 900 , Las Cañitas , Capital Federal ,1200
 70 m² cubiertos , 3 ambs. , SANTA MARIA DE ORO FRAY JUSTO al 2800 , Palermo , Capital Federal ,2600
 130 m² cubiertos , 3 ambs. , Villaflor al 500 , Puerto Madero , Capital Federal ,2200
 70 m² cubiertos , 3 ambs. , RUGGIERI al 2900 , Palermo , Capital Federal ,150000
 72 m² cubiertos , 3 ambs. , Torres LAS Plazas, Palermo , Capital Federal ,80000
 145 m² cubiertos , 3 ambs. , Martha Lynch al 400 , Puerto Madero , Capital Federal ,2900
 70 m² cubiertos , 3 ambs. , CORRIENTES 2300 , San Cristóbal , Capital Federal ,24200
 100 m² cubiertos , 3 ambs. , Ruggieri al 2900 , Palermo Chico , Capital Federal ,3000
 120 m² cubiertos , 3 ambs. , ORO al 2800 , Palermo , Capital Federal ,3000
 52 m² cubiertos , 3 ambs. , Ciudad de la Paz al 3000 , Núñez , Capital Federal ,28500
 95 m² cubiertos , 3 ambs. , Serrano 800 , Palermo , Capital Federal ,46800
 192 m² cubiertos , 4 ambs. , El Faro. Azucena Villaflor 600. , Puerto Madero , Capital Federal ,224000
 135 m² cubiertos , 4 ambs. , GODOY CRUZ al 3000 , Palermo , Capital Federal ,3000
 107 m² cubiertos , 3 ambs. , Ruggeri al 3000 , Palermo , Capital Federal ,2500
 95 m² cubiertos , 4 ambs. , Avenida Alvear al 1800 , Recoleta , Capital Federal ,1000
 120 m² cubiertos , 3 ambs. , Parera e/ Quintana y Alvear , Recoleta , Capital Federal ,94500
