Mts^2, Ambientes, Address, Neighborhood, City, Price
 74 m² cubiertos , 3 ambs. , Av. Libertador 5600 , Belgrano , Capital Federal ,53000
 120 m² cubiertos , 4 ambs. , Pasaje Lomas de zamora 2455 , Villa Devoto , Capital Federal ,50000
 67 m² cubiertos , 3 ambs. , Matheu 1200 , San Cristóbal , Capital Federal ,23000
 53 m² cubiertos , 3 ambs. , Acuña de Figueroa al 100 SN , Almagro , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , Acuña de Figueroa 151 , Almagro , Capital Federal ,25000
 70 m² cubiertos , 4 ambs. , Rivadavia 10400 , Villa Luro , Capital Federal ,21000
 60 m² cubiertos , 3 ambs. , FRANKLIN D. ROOSEVELT 2585 , Belgrano , Capital Federal ,34000
 54 m² cubiertos , 3 ambs. , Nahuel Huapi 4500 , Villa Urquiza , Capital Federal ,37500
 96 m² cubiertos , 3 ambs. , AVENIDA SANTA FE 3968 , Palermo , Capital Federal ,35000
 70 m² cubiertos , 3 ambs. , Terrada 921 , Flores , Capital Federal ,27000
 56 m² cubiertos , 3 ambs. , Yerbal 5126 , Villa Luro , Capital Federal ,15000
 67 m² cubiertos , 3 ambs. , Matheu 1200 , San Cristóbal , Capital Federal ,23000
 50 m² cubiertos , 3 ambs. , Achaval 200 , Caballito , Capital Federal ,28000
 80 m² cubiertos , 3 ambs. , Conesa 776 , Colegiales , Capital Federal ,60000
 90 m² cubiertos , 3 ambs. , Dragones 2200 , Belgrano Chico , Capital Federal ,1500
 100 m² cubiertos , 3 ambs. , Figueroa Alcorta 7184 , Belgrano Chico , Capital Federal ,60000
 79 m² cubiertos , 4 ambs. , San Juan 2190 , San Cristóbal , Capital Federal ,29000
 57 m² cubiertos , 3 ambs. , Tucuman 1600 , Recoleta , Capital Federal ,18500
 80 m² cubiertos , 3 ambs. , AZUCENA VILLA FLOR 500 , Puerto Madero , Capital Federal ,1400
 70 m² cubiertos , 3 ambs. , Curapaligue 60 , Caballito , Capital Federal ,27000
 90 m² cubiertos , 4 ambs. , Valentin Gomez 2600 , Once , Capital Federal ,28100
 58 m² cubiertos , 3 ambs. , Olleros 2454 , Colegiales , Capital Federal ,26000
 62 m² cubiertos , 3 ambs. , juramento 2564 , Belgrano , Capital Federal ,25000
 50 m² cubiertos , 3 ambs. , Rivadavia 5200 , Caballito , Capital Federal ,27000
 50 m² cubiertos , 2 ambs. , ALVAR NUÑEZ 200 , La Boca , Capital Federal ,14000
 65 m² cubiertos , 3 ambs. , Freire 2300 , Belgrano R , Capital Federal ,24900
 63 m² cubiertos , 3 ambs. , vidal 2500 , Belgrano , Capital Federal ,27700
 60 m² cubiertos , 3 ambs. , Marcelo t de Alvear 1400 , Barrio Norte , Capital Federal ,35000
 80 m² cubiertos , 3 ambs. , Gabriela Mistral 2562 , Villa Pueyrredón , Capital Federal ,33000
 56 m² cubiertos , 3 ambs. , Rondeau SN , Parque Patricios , Capital Federal ,23000
 52 m² cubiertos , 3 ambs. , Av entre Rios 1000 1000 , San Cristóbal , Capital Federal ,22600
 62 m² cubiertos , 3 ambs. , andres vallejos 3000 , Villa Pueyrredón , Capital Federal ,33000
 55 m² cubiertos , 3 ambs. , Plaza 3969 , Saavedra , Capital Federal ,20000
 45 m² cubiertos , 3 ambs. , Senillosa 500 , Caballito , Capital Federal ,18000
 60 m² cubiertos , 3 ambs. , corvalan 108 , Villa Luro , Capital Federal ,20000
 50 m² cubiertos , 3 ambs. , C. Ramirez 5800 , Villa Lugano , Capital Federal ,12000
 60 m² cubiertos , 3 ambs. , Cnel. Ramón Falcón 2800 , Flores , Capital Federal ,26000
 70 m² cubiertos , 3 ambs. , cramer 355 , Colegiales , Capital Federal ,24000
 49 m² cubiertos , 3 ambs. , av soldado de la frontera 5100 , Villa Lugano , Capital Federal ,12900
