Mts^2, Ambientes, Address, Neighborhood, City, Price
 65 m² cubiertos , 3 ambs. , AMENABAR 3200 , Núñez , Capital Federal ,195000
 45 m² cubiertos , 3 ambs. , Avellaneda 2548 , Flores , Capital Federal ,18000
 152 m² cubiertos , 4 ambs. , San Blas 2100 , Villa Gral. Mitre , Capital Federal ,45000
 82 m² cubiertos , 3 ambs. , JUNCAL Y LIBERTAD , Recoleta , Capital Federal ,1100
 101 m² cubiertos , 4 ambs. , REPUBLICA ARABE SIRIA 3300 2, Palermo , Capital Federal ,60000
 52 m² cubiertos , 3 ambs. , French 2850 , Recoleta , Capital Federal ,53500
 165 m² cubiertos , 3 ambs. , AV. DEL Libertador al 300 , Barrio Norte , Capital Federal ,3000
 65 m² cubiertos , 3 ambs. ,Teodor García 1800,Belgrano, Capital Federal ,30000
 64 m² cubiertos , 3 ambs. , DR. PEDRO IGNACIO RIVERA 4785 , Villa Pueyrredón , Capital Federal ,36000
 74 m² cubiertos , 3 ambs. , Moldes 2100 , Belgrano , Capital Federal ,38000
 191 m² cubiertos , 3 ambs. , Azucena Villaflor 669 , Puerto Madero , Capital Federal ,4000
 49 m² cubiertos , 3 ambs. , Directorio al 900 , Caballito , Capital Federal ,18000
 60 m² totales , 3 ambs. , Gallo al 1200 , Palermo , Capital Federal ,32000
 80 m² cubiertos , 3 ambs. , Juan Maria Gutierrez al 2600 , Recoleta , Capital Federal ,35000
 283 m² cubiertos , 5 ambs. , Florida al 1000 , Retiro , Capital Federal ,3500
 78 m² cubiertos , 3 ambs. , Concepcion Arenal al 2400 , Palermo , Capital Federal ,90000
 191 m² cubiertos , 3 ambs. , Azucena Villaflor 669 , Puerto Madero , Capital Federal ,3500
 77 m² cubiertos , 3 ambs. , Av. Gral. Las Heras al 2400 , Recoleta , Capital Federal ,38000
 110 m² cubiertos , 3 ambs. , Av. Libertador al 900 , Recoleta , Capital Federal ,49000
 90 m² cubiertos , 3 ambs. , Cordoba al 1100 , San Nicolás , Capital Federal ,33000
 140 m² cubiertos , 3 ambs. , Arcos 1700 , Belgrano , Capital Federal ,60000
 47 m² cubiertos , 3 ambs. , Av. Scalabrini Ortiz al 1600 , Palermo Soho , Capital Federal ,27000
 63 m² cubiertos , 3 ambs. , Chenaut al 1900 , Las Cañitas , Capital Federal ,45000
 83 m² totales , 3 ambs. , Avenida Córdoba al 2600 , Barrio Norte , Capital Federal ,29500
 85 m² cubiertos , 3 ambs. , Av. Jorge Newbery al 3400 , Chacarita , Capital Federal ,1000
 120 m² cubiertos , 3 ambs. , Mendoza 955 , Belgrano , Capital Federal ,900
 149 m² cubiertos , 4 ambs. , Juana Manso 1300 , Puerto Madero , Capital Federal ,3000
 130 m² cubiertos , 3 ambs. , Bv Azucena Villaflor al 550 , Puerto Madero , Capital Federal ,140000
 112 m² cubiertos , 3 ambs. , Migueletes 800 , Palermo , Capital Federal ,2000
 51 m² cubiertos , 3 ambs. , AV CABILDO al 200 , Belgrano , Capital Federal ,23000
 56 m² cubiertos , 3 ambs. , Avenida Olazabal 4600 , Villa Urquiza , Capital Federal ,35000
 53 m² cubiertos , 3 ambs. , Arenales al 3400 , Palermo , Capital Federal ,32000
 55 m² cubiertos , 3 ambs. , lascano 2900 , Villa del Parque , Capital Federal ,30000
 70 m² cubiertos , 3 ambs. , Jeronimo Salguero al 1800 , Palermo , Capital Federal ,65000
 88 m² cubiertos , 3 ambs. , Quintana al 500 , Recoleta , Capital Federal ,45000
 200 m² cubiertos , 3 ambs. , Av. del Libertador al 4900 , Belgrano , Capital Federal ,1900
 115 m² cubiertos , 3 ambs. , Juana Manso al 700 , Puerto Madero , Capital Federal ,1800
 95 m² cubiertos , 3 ambs. , Serrano 800 , Villa Crespo , Capital Federal ,46800
 60 m² cubiertos , 3 ambs. , Cabello y Scalabrini Ortíz , Palermo , Capital Federal ,70000
 53 m² cubiertos , 3 ambs. , Riglos al 600 , Caballito , Capital Federal ,27000
 165 m² cubiertos , 3 ambs. , AV. DEL Libertador al 300 , Retiro , Capital Federal ,3000
 130 m² cubiertos , 3 ambs. , Bv Azucena Villaflor al 550 , Puerto Madero , Capital Federal ,1700
 60 m² cubiertos , 3 ambs. , Remedios Escalada de San Martin 2749 , Santa Rita , Capital Federal ,24300
 90 m² cubiertos , 3 ambs. , Posadas al 1500 , Recoleta , Capital Federal ,50000
 95 m² cubiertos , 3 ambs. , Serrano 800 , Caballito , Capital Federal ,46800
 95 m² totales , 2 dorms. , La Pampa al 700 , Belgrano , Capital Federal ,130000
 60 m² cubiertos , 3 ambs. , Conesa al 4600 , Saavedra , Capital Federal ,42000
