Mts^2, Ambientes, Address, Neighborhood, City, Price
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Caballito , Capital Federal ,30000
 70 m² cubiertos , 3 ambs. , CORRIENTES 2300 , San Nicolás , Capital Federal ,24200
 80 m² cubiertos , 3 ambs. , Mario bravo 1200 , Barrio Norte , Capital Federal ,35000
 124 m² cubiertos , 3 ambs. , Azucena Villaflor 450 , Puerto Madero , Capital Federal ,2500
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Chacarita , Capital Federal ,30346
 130 m² cubiertos , 3 ambs. , Avda. del Libertador 7324 , Núñez , Capital Federal ,50000
 80 m² cubiertos , 3 ambs. , Av. Corrientes 2900 , Balvanera , Capital Federal ,33000
 150 m² cubiertos , 3 ambs. , Juana Manso al 100 , Puerto Madero , Capital Federal ,2200
 57 m² cubiertos , 3 ambs. , Juncal al 4500 , Palermo Nuevo , Capital Federal ,29000
 220 m² cubiertos , 3 ambs. , Sucre al 700 , Belgrano Chico , Capital Federal ,4200
 100 m² cubiertos , 3 ambs. , Callao 1600 , Recoleta , Capital Federal ,120000
 140 m² totales , 3 ambs. , Pueyrredon al 2400 , Barrio Norte , Capital Federal ,1000
 70 m² cubiertos , 3 ambs. , Avellaneda al 2000 , Flores , Capital Federal ,22000
 65 m² cubiertos , 3 ambs. , Silvio Ruggieri 2900 , Palermo Chico , Capital Federal ,1400
 70 m² cubiertos , 3 ambs. , CORRIENTES 2300 , Congreso , Capital Federal ,30000
 76 m² cubiertos , 3 ambs. , ALQUILER DEPTO. BARRIO NORTE 3 AMB + DEPENDENCIA C , Barrio Norte , Capital Federal ,28000
 120 m² cubiertos , 3 ambs. , Parera al 100 , Recoleta , Capital Federal ,80000
 70 m² cubiertos , 3 ambs. , CORRIENTES 2300 , Almagro , Capital Federal ,30492
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Paternal , Capital Federal ,30346
 116 m² cubiertos , 3 ambs. , Camila O Gorman 400 , Puerto Madero , Capital Federal ,2500
 55 m² cubiertos , 3 ambs. , DELGADO 588 , Colegiales , Capital Federal ,25000
 89 m² cubiertos , 3 ambs. , Riobamba 900 , Recoleta , Capital Federal ,1800
 107 m² cubiertos , 4 ambs. , Cerrito 1100 , Retiro , Capital Federal ,1000
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Colegiales , Capital Federal ,25000
 131 m² cubiertos , 3 ambs. , AZUCENA VILLAFLOR 500 , Puerto Madero , Capital Federal ,2700
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Agronomía , Capital Federal ,25000
 110 m² cubiertos , 3 ambs. , Av del Libertador al 3500 , Palermo , Capital Federal ,37500
 78 m² cubiertos , 3 ambs. , UGARTECHE 3000 9, Palermo , Capital Federal ,55000
 90 m² cubiertos , 4 ambs. , Libertad 1300 , Recoleta , Capital Federal ,1700
 124 m² cubiertos , 3 ambs. , Azucena Villaflor 450 , Puerto Madero , Capital Federal ,2000
 170 m² cubiertos , 3 ambs. , Teodoro Garcia 1700 , Belgrano , Capital Federal ,2000
 60 m² cubiertos , 3 ambs. , Lavalle 1700 , San Nicolás , Capital Federal ,21000
 95 m² cubiertos , 3 ambs. , Serrano 800 , Palermo , Capital Federal ,46800
 110 m² cubiertos , 3 ambs. , Camila O'Gorman 373 , Puerto Madero , Capital Federal ,1800
 125 m² cubiertos , 3 ambs. , AIME PAIME al al 1100 , Puerto Madero , Capital Federal ,5000
 128 m² cubiertos , 3 ambs. , Le Parc Puerto Madero  Azucena Villaflor 400  , Puerto Madero , Capital Federal ,2800
 150 m² cubiertos , 3 ambs. , AVENIDA DEL LIBERTADOR al 3500 , Palermo , Capital Federal ,95000
 98 m² cubiertos , 3 ambs. , Guemes al 3300 , Barrio Norte , Capital Federal ,180000
 75 m² cubiertos , 3 ambs. , Carlos Pellegrini 1300 , Recoleta , Capital Federal ,1400
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Paternal , Capital Federal ,25000
 65 m² cubiertos , 3 ambs. , Estados Unidos al 700 , San Telmo , Capital Federal ,25000
 135 m² cubiertos , 4 ambs. , ALVEAR 1500 6, Recoleta , Capital Federal ,1800
 63 m² cubiertos , 3 ambs. , Arenales al 3400 , Barrio Norte , Capital Federal ,26000
 100 m² cubiertos , 3 ambs. , Republica Arabe Siria al 3300 , Barrio Norte , Capital Federal ,60000
 88 m² cubiertos , 3 ambs. , Olga Cossettini 1100 , Puerto Madero , Capital Federal ,1700
 145 m² cubiertos , 3 ambs. , Juana Manso al 100 , Puerto Madero , Capital Federal ,2300
 97 m² cubiertos , 3 ambs. , Cerviño al 3600 , Palermo Chico , Capital Federal ,1700
