Mts^2, Ambientes, Address, Neighborhood, City, Price
 50 m² totales , 3 ambs. , Bonpland al 1600 , Palermo , Capital Federal ,23000
 53 m² cubiertos , 3 ambs. , Cap. Gral. R. Freire al 2000 , Belgrano R , Capital Federal ,25000
 90 m² cubiertos , 3 ambs. , Uriarte 2200 , Palermo , Capital Federal ,50000
 80 m² cubiertos , 3 ambs. , Carlos Calvo al 1800 , San Cristóbal , Capital Federal ,26000
 100 m² cubiertos , 3 ambs. , AV. Cramer 2200 , Belgrano , Capital Federal ,67000
 60 m² cubiertos , 3 ambs. , PASAJE ANCON 5388 , Palermo , Capital Federal ,37000
 75 m² cubiertos , 3 ambs. , Virrey Olaguer Y Feliu 2444 , Belgrano , Capital Federal ,58000
 50 m² cubiertos , 3 ambs. , Fragata Presidente Sarmiento al 1100 , Caballito , Capital Federal ,24000
 100 m² cubiertos , 3 ambs. , Pasco al 1200 , San Cristóbal , Capital Federal ,25000
 79 m² cubiertos , 3 ambs. , Av. Nazca 1830 , Villa del Parque , Capital Federal ,28000
 95 m² cubiertos , 4 ambs. , Uriarte al 2200 , Palermo , Capital Federal ,50000
 134 m² cubiertos , 4 ambs. , Montevideo al 1300 , Recoleta , Capital Federal ,1400
 80 m² cubiertos , 3 ambs. , Semi Piso en Parana al 1000 3 amb con Dependencia de Servicio , Recoleta , Capital Federal ,29900
 68 m² cubiertos , 3 ambs. , Libertad al 1600 , Recoleta , Capital Federal ,55000
 46 m² cubiertos , 3 ambs. , SCALABRINI ORTIZ al 1400 , Palermo , Capital Federal ,30000
 65 m² cubiertos , 3 ambs. , Malabia 2200 , Palermo , Capital Federal ,55000
 64 m² cubiertos , 3 ambs. , Av Rivadavia al 4400 , Caballito , Capital Federal ,22000
 90 m² cubiertos , 4 ambs. , Soldado de la Independencia al 1300 , Belgrano , Capital Federal ,53000
 61 m² cubiertos , 3 ambs. , Cullen al 5000 , Villa Urquiza , Capital Federal ,34000
 100 m² cubiertos , 3 ambs. , Vista al Río , Ciudad Cochera y Baulera , Puerto Madero ,120000
 57 m² cubiertos , 3 ambs. , Av. Coronel Diaz al 2000 , Palermo Viejo , Capital Federal ,32000
 80 m² cubiertos , 3 ambs. , Pompeya , Nueva Pompeya , Capital Federal ,24000
 61 m² cubiertos , 3 ambs. , AV. FIGUEROA ALCORTA al 3400 , Palermo Chico , Capital Federal ,42500
 108 m² cubiertos , 3 ambs. , San Martín de Tours al 3100 , Palermo , Capital Federal ,3000
 100 m² cubiertos , 3 ambs. , República de la India al 2900 , Palermo , Capital Federal ,140000
 115 m² cubiertos , 3 ambs. , AV. LIBERTADOR al 3500 , Palermo , Capital Federal ,80000
 107 m² cubiertos , 3 ambs. , Avenida Alvear 1800 , Recoleta , Capital Federal ,110000
 100 m² cubiertos , 3 ambs. , Valor paquete con muebles Vista al Río , Ciudad Co , Puerto Madero ,1500
 73 m² cubiertos , 3 ambs. , Salta 1900 , Constitución , Capital Federal ,24000
 108 m² cubiertos , 3 ambs. , San Martín de Tours al 3100 , Palermo Chico , Capital Federal ,3000
 100 m² cubiertos , 3 ambs. , República de la India al 2900 , Palermo Chico , Capital Federal ,140000
 93 m² cubiertos , 3 ambs. , Arcos al 1700 , Belgrano , Capital Federal ,2000
 95 m² cubiertos , 3 ambs. , Gelly 3000 , Palermo Chico , Capital Federal ,1300
 76 m² cubiertos , 3 ambs. , Moldes al 700 , Belgrano , Capital Federal ,40000
 100 m² cubiertos , 3 ambs. , Avenida Cramer 2200 , Belgrano , Capital Federal ,72000
 55 m² cubiertos , 3 ambs. , Basavilbaso al 1300 , Retiro , Capital Federal ,30000
 135 m² cubiertos , 3 ambs. , SALGUERO al 3000 , Palermo , Capital Federal ,2000
 115 m² cubiertos , 3 ambs. , AV. LIBERTADOR al 3500 , Palermo Chico , Capital Federal ,80000
 100 m² cubiertos , 3 ambs. , Juana Manso al 400 , Puerto Madero , Capital Federal ,1300
 77 m² totales , 3 ambs. , Valle al 1000 , Caballito , Capital Federal ,38000
 59 m² cubiertos , 3 ambs. , Gurruchaga 2200 , Palermo Soho , Capital Federal ,50000
 81 m² cubiertos , 3 ambs. , AGUERO al 2300 , Recoleta , Capital Federal ,35000
 180 m² cubiertos , 4 ambs. , av. libertador al 4900 , Las Cañitas , Capital Federal ,250000
 50 m² cubiertos , 3 ambs. , BULNES al 1100 , Barrio Norte , Capital Federal ,45000
 84 m² cubiertos , 3 ambs. , Nicaragua 5900 , Palermo Hollywood , Capital Federal ,80000
 75 m² cubiertos , 3 ambs. , AZCUENAGA al 1400 , Recoleta , Capital Federal ,35000
 95 m² cubiertos , 3 ambs. , Bulnes al 2700 , Palermo Chico , Capital Federal ,65000
 60 m² cubiertos , 3 ambs. , Cerviño al 3900 , Palermo Chico , Capital Federal ,40000
