Mts^2, Ambientes, Address, Neighborhood, City, Price
 65 m² cubiertos , 3 ambs. , Armenia 2200 6, Palermo , Capital Federal ,35000
 67 m² cubiertos , 3 ambs. , Godoy Cruz 2900 , Palermo , Capital Federal ,40000
 52 m² totales , 3 ambs. , Santiago DEL Estero al 100 , Congreso , Capital Federal ,20000
 56 m² cubiertos , 3 ambs. , Corrientes al 5600 , Villa Crespo , Capital Federal ,25000
 75 m² cubiertos , 3 ambs. , Franklin D. Roseevelt al 3200 , Belgrano , Capital Federal ,45000
 49 m² cubiertos , 3 ambs. , Matienzo, Las Cañitas , Capital Federal ,25000
 58 m² cubiertos , 10 ambs. , Virgilio 1376 , Monte Castro , Capital Federal ,22000
 55 m² cubiertos , 3 ambs. , Juncal al 4500, Palermo , Capital Federal ,29000
 86 m² cubiertos , 3 ambs. , Juncal 1200 , Recoleta , Capital Federal ,25000
 80 m² cubiertos , 3 ambs. , borges 2300 , Palermo , Capital Federal ,30000
 70 m² cubiertos , 3 ambs. , Corvalan al 2600 , Mataderos , Capital Federal ,23000
 72 m² cubiertos , 3 ambs. , DOBLAS 100 , Caballito , Capital Federal ,25000
 75 m² cubiertos , 3 ambs. , Ramallo al 1700 , Núñez , Capital Federal ,45000
 130 m² cubiertos , 3 ambs. , Migueletes al 800 , Las Cañitas , Capital Federal ,2500
 55 m² cubiertos , 3 ambs. , Olazabal 5200 2° , Villa Urquiza , Capital Federal ,25000
 75 m² cubiertos , 3 ambs. , Corrientes al 4400 , Almagro , Capital Federal ,32000
 100 m² cubiertos , 4 ambs. , Melincue al 3200 , Villa del Parque , Capital Federal ,32000
 50 m² cubiertos , 3 ambs. , Charcas al 3600 , Palermo , Capital Federal ,27000
 65 m² cubiertos , 3 ambs. , Pedro Ignacio Rivera al 2400 , Núñez , Capital Federal ,27000
 90 m² cubiertos , 3 ambs. , Tucuman 600 , San Nicolás , Capital Federal ,28500
 75 m² cubiertos , 3 ambs. , Peña al 3000 , Recoleta , Capital Federal ,45000
 125 m² cubiertos , 3 ambs. , Felipe Vallese 2751 , Flores , Capital Federal ,48000
 75 m² cubiertos , 3 ambs. , Cerrito al 1500 Piso 16 , Recoleta , Capital Federal ,28000
 47 m² cubiertos , 3 ambs. , AV SAN Martin al 4900 , Villa del Parque , Capital Federal ,19000
 50 m² cubiertos , 3 ambs. , Lemos 83 , Chacarita , Capital Federal ,20000
 75 m² cubiertos , 3 ambs. , Cesar Diaz 4300 10° , Floresta , Capital Federal ,23000
 65 m² cubiertos , 3 ambs. , Jufre al 800 , Villa Crespo , Capital Federal ,40000
 80 m² cubiertos , 3 ambs. , Jorge Luis Borges al 1300 , Palermo , Capital Federal ,25000
 93 m² cubiertos , 3 ambs. , Av.Cabildo 500 , Palermo , Capital Federal ,38000
 50 m² cubiertos , 3 ambs. , B Mitre 1617 , San Nicolás , Capital Federal ,16000
 62 m² cubiertos , 3 ambs. , Conesa al 2500 , Belgrano , Capital Federal ,35000
 85 m² cubiertos , 3 ambs. , Vuelta de Obligado al 4600 , Núñez , Capital Federal ,38000
 46 m² cubiertos , 3 ambs. , Viamonte 2600 , Balvanera , Capital Federal ,18000
 90 m² cubiertos , 3 ambs. , Virrey Arredondo y Arcos , Belgrano , Capital Federal ,40000
 62 m² cubiertos , 3 ambs. , Barzana al 2100 , Villa Urquiza , Capital Federal ,28000
 60 m² cubiertos , 3 ambs. , LASCANO 2800 , Villa del Parque , Capital Federal ,30000
 64 m² cubiertos , 3 ambs. , GUEMES al 4200 , Palermo , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , Zapiola 2300 , Belgrano R , Capital Federal ,30000
 80 m² cubiertos , 3 ambs. , Defensa al 800 , San Telmo , Capital Federal ,38000
 56 m² cubiertos , 3 ambs. , Plaza 2400 , Coghlan , Capital Federal ,27000
 110 m² cubiertos , 4 ambs. , Congreso 2700 , Coghlan , Capital Federal ,60000
 125 m² cubiertos , 3 ambs. , Felipe Vallese 2751 , Floresta , Capital Federal ,48000
 60 m² cubiertos , 3 ambs. , AV Cruz al 6200 , Villa Lugano , Capital Federal ,18000
 51 m² cubiertos , 3 ambs. , Avenida San Juan al 1900 , San Cristóbal , Capital Federal ,25000
 120 m² cubiertos , 3 ambs. , Av. Córdoba 800 , Retiro , Capital Federal ,23800
 180 m² cubiertos , 3 ambs. , Azucena Villaflor 600 , Puerto Madero , Capital Federal ,200000
 60 m² cubiertos , 3 ambs. , OLAYA al 1100 , Villa Crespo , Capital Federal ,20000
 66 m² cubiertos , 3 ambs. , echevarria al 4200 , Villa Urquiza , Capital Federal ,37000
