Mts^2, Ambientes, Address, Neighborhood, City, Price
 65 m² cubiertos , 3 ambs. , Juncal al 1800 , Recoleta , Capital Federal ,32000
 71 m² cubiertos , 3 ambs. , Biarritz N° 2328, Villa del Parque , Capital Federal ,27000
 145 m² totales , 3 ambs. , Juana Manso al 500 , Puerto Madero , Capital Federal ,1500
 85 m² cubiertos , 3 ambs. , Juncal 1100 , Recoleta , Capital Federal ,50000
 90 m² cubiertos , 3 ambs. , Virrey Arredondo al 2200 , Belgrano C , Capital Federal ,30000
 70 m² cubiertos , 3 ambs. , Guemes 2900 2º , Barrio Norte , Capital Federal ,39000
 77 m² cubiertos , 3 ambs. , Av. Las Heras 2500 , Recoleta , Capital Federal ,38000
 140 m² cubiertos , 3 ambs. , Thames 2161 , Palermo Soho , Capital Federal ,1200
 97 m² cubiertos , 3 ambs. , Republica Arabe Siria al 2600 , Palermo , Capital Federal ,36000
 58 m² cubiertos , 3 ambs. , Pico 2300 1° , Belgrano , Capital Federal ,30000
 80 m² cubiertos , 3 ambs. , Giribone 1100 , Colegiales , Capital Federal ,70000
 105 m² cubiertos , 3 ambs. , Maure al 1500 , Las Cañitas , Capital Federal ,45000
 75 m² totales , 4 ambs. , :) , Caballito , Capital Federal ,32000
 56 m² cubiertos , 3 ambs. , SANTA FE al 4800 , Palermo , Capital Federal ,27000
 50 m² cubiertos , 3 ambs. , Avenida libertador al 6400 , Núñez , Capital Federal ,25000
 67 m² cubiertos , 3 ambs. , Av. Callao 1200 , Recoleta , Capital Federal ,45000
 55 m² cubiertos , 3 ambs. , Abraham J. Luppi al 900 , Nueva Pompeya , Capital Federal ,15800
 86 m² cubiertos , 3 ambs. , Juan Francisco Segui 4700 , Palermo , Capital Federal ,95000
 48 m² cubiertos , 3 ambs. , P. I. Rivera 3045 , Belgrano , Capital Federal ,23500
 135 m² cubiertos , 4 ambs. , Levene al 900 , Recoleta , Capital Federal ,2400
 90 m² cubiertos , 3 ambs. , LUIS MARIA CAMPOS 1100 , Palermo , Capital Federal ,29000
 70 m² cubiertos , 3 ambs. , Martiniano Leguizamon 0 , Liniers , Capital Federal ,22000
 90 m² cubiertos , 3 ambs. , Olga Cossettini 1300 , Puerto Madero , Capital Federal ,72000
 200 m² cubiertos , 3 ambs. , Av. Salvador María del Carril al 4100 , Villa Devoto , Capital Federal ,65000
 60 m² cubiertos , 3 ambs. , Arcos 1700 , Belgrano , Capital Federal ,70000
 60 m² cubiertos , 3 ambs. , Juan Francisco Segui 3578 , Palermo Chico , Capital Federal ,32000
 69 m² totales , 3 ambs. , Jorge Luis Borges 2100 5ºA , Palermo Soho , Capital Federal ,60000
 45 m² cubiertos , 3 ambs. , Vuelta de Obligado y Pico , Núñez , Capital Federal ,30000
 88 m² cubiertos , 3 ambs. , Helguera 2800 9° , Villa del Parque , Capital Federal ,35000
 122 m² cubiertos , 4 ambs. , Juana Manso al 1500 , Puerto Madero , Capital Federal ,200000
 63 m² cubiertos , 3 ambs. , Zapata 100 , Palermo , Capital Federal ,900
 200 m² cubiertos , 3 ambs. , Olga Cossettini al 100 , Puerto Madero , Capital Federal ,4000
 80 m² cubiertos , 3 ambs. , Olga Cossettini al 1100 , Puerto Madero , Capital Federal ,65000
 83 m² cubiertos , 3 ambs. , Azucena Villaflor , Puerto Madero , Capital Federal ,900
 60 m² cubiertos , 3 ambs. , Roosevelt al 1900 , Belgrano , Capital Federal ,43000
 82 m² cubiertos , 3 ambs. , LAFINUR al 3100 , Palermo , Capital Federal ,68000
 148 m² cubiertos , 3 ambs. , Julieta Lanteri 1300 , Puerto Madero , Capital Federal ,2500
 128 m² cubiertos , 3 ambs. , Ramon Castilla 2900 , Palermo , Capital Federal ,2100
 134 m² cubiertos , 4 ambs. , Parana al 1200 , Recoleta , Capital Federal ,2250
 82 m² cubiertos , 3 ambs. , Anchorena al 1600 , Barrio Norte , Capital Federal ,35000
 117 m² cubiertos , 3 ambs. , Quartier Ocampo , Palermo , Capital Federal ,2540
 52 m² cubiertos , 3 ambs. , MONROE 3848 , Belgrano , Capital Federal ,1300
 58 m² cubiertos , 3 ambs. , Teniente General Juan Domingo Peron 1600 , San Nicolás , Capital Federal ,16000
 82 m² cubiertos , 3 ambs. , av diaz velez 3800 , Almagro , Capital Federal ,27000
 90 m² cubiertos , 3 ambs. , ARCOS al 1900 , Belgrano , Capital Federal ,39000
 108 m² cubiertos , 3 ambs. , Castañeda 2020 Piso 9 , Belgrano Chico , Capital Federal ,2499
 80 m² cubiertos , 3 ambs. , Giribone 1100 , Chacarita , Capital Federal ,70000
