Mts^2, Ambientes, Address, Neighborhood, City, Price
 144 m² cubiertos , 3 ambs. , Marta Lynch al 400 , Puerto Madero , Capital Federal ,2500
 120 m² cubiertos , 3 ambs. , Julieta Lanteri al 1300 , Puerto Madero , Capital Federal ,2500
 135 m² cubiertos , 3 ambs. , ALVEAR al 1500 , Recoleta , Capital Federal ,1600
 60 m² cubiertos , 3 ambs. , Juan de Dios Filiberto al 1000 , La Boca , Capital Federal ,35000
 90 m² cubiertos , 3 ambs. , Juan b Justo al 1000 , Palermo , Capital Federal ,1200
 240 m² cubiertos , 3 ambs. , MANSO JUANA al 100 , Puerto Madero , Capital Federal ,4800
 78 m² cubiertos , 3 ambs. , Juramento 2800 10° , Belgrano , Capital Federal ,38000
 100 m² cubiertos , 3 ambs. , Olga Cossettini 1600 , Puerto Madero , Capital Federal ,1600
 68 m² cubiertos , 3 ambs. , Ruggeri al 2900 , Palermo Chico , Capital Federal ,1400
 78 m² cubiertos , 3 ambs. , Carlos Pellegrini al 1300 , Barrio Norte , Capital Federal ,2000
 95 m² cubiertos , 3 ambs. , Godoy Cruz al 2900 , Palermo , Capital Federal ,2000
 95 m² cubiertos , 3 ambs. , AV SANTA FE al 1900 , Barrio Norte , Capital Federal ,65000
 85 m² cubiertos , 3 ambs. , Azcuenaga 1500 , Recoleta , Capital Federal ,1300
 130 m² cubiertos , 5 ambs. , Ayacucho al 1900 , Recoleta , Capital Federal ,2700
 133 m² cubiertos , 3 ambs. , MANSO JUANA al 100 , Puerto Madero , Capital Federal ,3500
 95 m² cubiertos , 3 ambs. , Serrano 800 , Colegiales , Capital Federal ,46800
 90 m² cubiertos , 3 ambs. , Juan b Justo al 1000 , Palermo , Capital Federal ,1600
 50 m² cubiertos , 3 ambs. , Valentín Gómez 3600 , Almagro , Capital Federal ,21000
 124 m² cubiertos , 3 ambs. , Juana Manso 1150 , Puerto Madero , Capital Federal ,1100
 175 m² cubiertos , 3 ambs. , Guemes Macacha al 300 , Puerto Madero , Capital Federal ,3300
 150 m² cubiertos , 3 ambs. , Petrona Eyle al 300 , Puerto Madero , Capital Federal ,3500
 66 m² cubiertos , 3 ambs. , Azucena Maizani 395 , Puerto Madero , Capital Federal ,95000
 191 m² cubiertos , 3 ambs. , Julieta Lanteri al 1200 , Puerto Madero , Capital Federal ,3500
 110 m² cubiertos , 4 ambs. , Congreso 2700 , Belgrano , Capital Federal ,60000
 84 m² totales , 3 ambs. , Azcuénaga y French , Palermo , Capital Federal ,1500
 132 m² cubiertos , 3 ambs. , Av del Libertador al 2400 , Palermo , Capital Federal ,2900
 132 m² cubiertos , 3 ambs. , Av del Libertador al 2400 , Palermo , Capital Federal ,2200
 65 m² cubiertos , 3 ambs. , CABELLO al 3400 , Palermo , Capital Federal ,63000
 55 m² cubiertos , 3 ambs. , Zapiola 2300 , Belgrano R , Capital Federal ,30000
 65 m² cubiertos , 3 ambs. , Juncal 4500 , Palermo , Capital Federal ,60000
 75 m² cubiertos , 4 ambs. , corrientes 4900 , Villa Crespo , Capital Federal ,29000
 90 m² cubiertos , 3 ambs. , Juana Manso 1351 , Puerto Madero , Capital Federal ,1600
 150 m² cubiertos , 3 ambs. , Alvear 1500 e/ y Montevideo , Barrio Norte , Capital Federal ,2000
 52 m² cubiertos , 3 ambs. , Paraguay 3604 , Palermo , Capital Federal ,950
 145 m² cubiertos , 3 ambs. , Juana Manso al 100 , Puerto Madero , Capital Federal ,2500
 113 m² cubiertos , 3 ambs. , CLAY al 3000 , Palermo , Capital Federal ,2500
 120 m² cubiertos , 3 ambs. , Rosario Vera Peñaloza al 500 , Puerto Madero , Capital Federal ,250000
 64 m² cubiertos , 3 ambs. , GUEMES al 4200 , Palermo Chico , Capital Federal ,25000
 95 m² cubiertos , 3 ambs. , Serrano 800 , Almagro , Capital Federal ,46800
 152 m² cubiertos , 3 ambs. , Martha Salotti al 500 , Puerto Madero , Capital Federal ,3000
 100 m² cubiertos , 3 ambs. , Rodríguez Peña 1800 , Recoleta , Capital Federal ,1200
 122 m² cubiertos , 3 ambs. , ARROYO al 1100 , Recoleta , Capital Federal ,1850
 140 m² cubiertos , 3 ambs. , Ayacucho 1800 7, Recoleta , Capital Federal ,1800
 95 m² cubiertos , 3 ambs. , Serrano 800 , Caballito , Capital Federal ,46800
 60 m² cubiertos , 3 ambs. , Arroyo al 800 , Recoleta , Capital Federal ,2500
 70 m² cubiertos , 3 ambs. , Libertador al 5700 , Belgrano , Capital Federal ,1500
 140 m² totales , 3 ambs. , Pueyrredon al 2400 , Recoleta , Capital Federal ,1000
 145 m² cubiertos , 3 ambs. , Juana Manso al 100 , Puerto Madero , Capital Federal ,2100
