Mts^2, Ambientes, Address, Neighborhood, City, Price
 117 m² cubiertos , 3 ambs. , Camila O' Gorman 300, Puerto Madero, Capital Federal ,2600
 70 m² cubiertos , 3 ambs. , Cabello 3400 E/paunero y Salguero, Barrio Norte , Capital Federal ,1500
 50 m² cubiertos , 3 ambs. , Jorge Luis Borges 1800 , Palermo Soho , Capital Federal ,40000
 60 m² cubiertos , 3 ambs. , Olazabal 3400 , Belgrano R , Capital Federal ,27000
 80 m² cubiertos , 3 ambs. , Guemes al 3300 , Palermo , Capital Federal ,3200
 214 m² cubiertos , 3 ambs. , Pierina Dealessi al 500 , Puerto Madero , Capital Federal ,4000
 87 m² cubiertos , 3 ambs. , Bulnes al 2700 , Palermo Chico , Capital Federal ,1800
 54 m² cubiertos , 3 ambs. , Aguilar 2390 , Belgrano , Capital Federal ,36000
 66 m² cubiertos , 3 ambs. , Sanchez de Bustamante al 2300 , Barrio Norte , Capital Federal ,26000
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Chacarita , Capital Federal ,24200
 68 m² cubiertos , 3 ambs. , REPUBLICA ARABE SIRIA 3200 , Palermo , Capital Federal ,50000
 72 m² cubiertos , 3 ambs. , TUCUMAN 1536 , San Nicolás , Capital Federal ,22000
 60 m² cubiertos , 3 ambs. , Catamarca 500 , Balvanera , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , Av. Figueroa Alcorta 3000 , Palermo Chico , Capital Federal ,32000
 62 m² cubiertos , 3 ambs. , OLAYA al 1100 , Caballito , Capital Federal ,24200
 75 m² cubiertos , 3 ambs. , Juncal 4690 , Palermo , Capital Federal ,80000
 70 m² cubiertos , 3 ambs. , CORRIENTES 2300 , Barrio Norte , Capital Federal ,24200
 61 m² cubiertos , 3 ambs. , av Las Heras 2024 , Barrio Norte , Capital Federal ,40000
 61 m² cubiertos , 3 ambs. , VUELTA DE OBLIGADO al 1400 , Belgrano , Capital Federal ,35000
 62 m² cubiertos , 3 ambs. , OLAYA al 1100 , Villa Crespo , Capital Federal ,24200
 100 m² cubiertos , 3 ambs. , Migueletes 800 , Palermo , Capital Federal ,3000
 78 m² cubiertos , 3 ambs. , Arce al 400 , Las Cañitas , Capital Federal ,30000
 90 m² cubiertos , 3 ambs. , Av. Nazca 1830 , Villa del Parque , Capital Federal ,28000
 60 m² cubiertos , 3 ambs. , Quintana al 500 , Recoleta , Capital Federal ,1500
 38 m² cubiertos , 3 ambs. , AV. CORRIENTES al 1200 , San Nicolás , Capital Federal ,24000
 200 m² cubiertos , 4 ambs. , Repùblica de la India al 3000 , Palermo Chico , Capital Federal ,3800
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Villa Crespo , Capital Federal ,30346
 70 m² cubiertos , 3 ambs. , CORRIENTES 2300 , Balvanera , Capital Federal ,30000
 80 m² cubiertos , 3 ambs. , Avenida Martin Comodoro Rivadavia 2360 , Núñez , Capital Federal ,100000
 42 m² cubiertos , 3 ambs. , Avenida Callao al 700 , Recoleta , Capital Federal ,19000
 55 m² cubiertos , 3 ambs. , Quintana al 200 , Recoleta , Capital Federal ,34000
 67 m² cubiertos , 3 ambs. ,  LUIS MARIA CAMPOS 86, Palermo , Capital Federal ,27500
 75 m² cubiertos , 4 ambs. , corrientes 4900 , Palermo , Capital Federal ,29000
 60 m² cubiertos , 3 ambs. , Av Los Incas 5153 , Parque Chas , Capital Federal ,28000
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Once , Capital Federal ,24200
 135 m² cubiertos , 3 ambs. , Pueyrredon 2400 , Recoleta , Capital Federal ,1180
 114 m² cubiertos , 3 ambs. , AV. ALVEAR al 1700  , Recoleta , Capital Federal ,2000
 107 m² cubiertos , 4 ambs. , Cerrito 1100 , Recoleta , Capital Federal ,1000
 55 m² cubiertos , 3 ambs. , CORONEL DIAZ 2489 , Barrio Norte , Capital Federal ,30000
 65 m² cubiertos , 3 ambs. , AVENIDA BELGRANO 1469 , Monserrat , Capital Federal ,24000
 70 m² cubiertos , 3 ambs. , Concepción Arenal al 2700 , Palermo Hollywood , Capital Federal ,55000
 150 m² cubiertos , 3 ambs. , Olga Cossettini 1500 , Puerto Madero , Capital Federal ,3500
 50 m² cubiertos , 3 ambs. , Pueyrredon 740 , Balvanera , Capital Federal ,35000
 80 m² cubiertos , 3 ambs. , Scalabrini Ortiz al 2700 , Palermo , Capital Federal ,27000
 70 m² cubiertos , 3 ambs. , Parana 1100 7° , Recoleta , Capital Federal ,35000
 146 m² cubiertos , 4 ambs. , San Blas 2100 , Villa Gral. Mitre , Capital Federal ,45000
 185 m² cubiertos , 3 ambs. , Macacha guemes al 300 , Puerto Madero , Capital Federal ,5900
