Mts^2, Ambientes, Address, Neighborhood, City, Price
 120 m² cubiertos , 3 ambs. , Ortiz de Ocampo y cabello , Palermo Chico , Capital Federal ,1900
 72 m² totales , 3 ambs. , Jorge Luis Borges 2100 2ºA , Palermo Soho , Capital Federal ,56000
 55 m² cubiertos , 3 ambs. , Terrada 921 , Flores , Capital Federal ,26000
 85 m² cubiertos , 3 ambs. , Guemes al 3300 , Palermo Soho , Capital Federal ,1100
 64 m² cubiertos , 3 ambs. , Santos Dumont al 2300 , Colegiales , Capital Federal ,50000
 92 m² cubiertos , 3 ambs. , Torre River View, Puerto Madero , Capital Federal ,160000
 90 m² cubiertos , 4 ambs. , Cerrito al 1300 , Recoleta , Capital Federal ,49000
 96 m² cubiertos , 3 ambs. , Cramer al 1600 , Belgrano , Capital Federal ,650
 110 m² cubiertos , 3 ambs. , Arenales al 800 , Retiro , Capital Federal ,30000
 58 m² cubiertos , 3 ambs. , Vidal 1500 , Belgrano , Capital Federal ,30000
 107 m² cubiertos , 4 ambs. , JUNCAL al 2200 , Recoleta , Capital Federal ,46000
 80 m² cubiertos , 3 ambs. , Cabrera, Palermo , Capital Federal ,700
 210 m² cubiertos , 3 ambs. , Macacha Güemes , Puerto Madero , Capital Federal ,3200
 80 m² cubiertos , 3 ambs. , Jose Hernandez 2000 , Belgrano , Capital Federal ,36000
 193 m² cubiertos , 5 ambs. , Av. Libertador al 2100 , Palermo Chico , Capital Federal ,180000
 97 m² cubiertos , 3 ambs. , Güemes 3500 , Palermo , Capital Federal ,50000
 95 m² cubiertos , 3 ambs. , Av. Libertador al 5400 , Belgrano , Capital Federal ,120000
 80 m² cubiertos , 4 ambs. , uriarte 2200 , Palermo , Capital Federal ,50000
 60 m² totales , 3 ambs. , Mansilla al 2900 , Barrio Norte , Capital Federal ,30000
 76 m² cubiertos , 3 ambs. , Av. Scalabrini Ortiz 41 , Villa Crespo , Capital Federal ,25000
 75 m² cubiertos , 3 ambs. , Guemes al 3300 , Palermo , Capital Federal ,1800
 80 m² cubiertos , 3 ambs. , Juan B Justo al 1000 , Palermo Hollywood , Capital Federal ,1400
 195 m² cubiertos , 4 ambs. , Avenida del Libertador al 4900 , Las Cañitas , Capital Federal ,1900
 95 m² cubiertos , 3 ambs. , Bartolome Mitre 2600 , Balvanera , Capital Federal ,35000
 118 m² cubiertos , 3 ambs. , Arcos al 1200 , Belgrano , Capital Federal ,46000
 195 m² cubiertos , 4 ambs. , Avenida del Libertador al 4900 , Las Cañitas , Capital Federal ,252700
 60 m² cubiertos , 3 ambs. , Libertador al 1100 , Recoleta , Capital Federal ,29000
 70 m² cubiertos , 3 ambs. , Ruggeri al 2900 , Palermo Chico , Capital Federal ,1800
 145 m² cubiertos , 3 ambs. , Av. Libertador al 5400 , Belgrano , Capital Federal ,3500
 191 m² cubiertos , 3 ambs. , Azucena Villaflor al 600 , Puerto Madero , Capital Federal ,3300
 75 m² cubiertos , 3 ambs. , Corrientes, Villa Crespo , Capital Federal ,45000
 67 m² cubiertos , 3 ambs. , Juncal al 3700 , Palermo , Capital Federal ,28000
 75 m² cubiertos , 3 ambs. , Guemes al 3300 , Palermo , Capital Federal ,3200
 175 m² cubiertos , 4 ambs. , Av. del Libertador al 300 , Retiro , Capital Federal ,3000
 78 m² cubiertos , 3 ambs. , MIGUELETES 1640 , Belgrano Barrancas , Capital Federal ,69000
 160 m² cubiertos , 3 ambs. , Av Juana Manso 153 p. 8 , Puerto Madero , Capital Federal ,3000
 80 m² cubiertos , 3 ambs. , O HIGGINS al 1700 , Belgrano , Capital Federal ,49900
 64 m² cubiertos , 3 ambs. , Santos Dumont al 2300 , Palermo , Capital Federal ,50000
 59 m² cubiertos , 3 ambs. , Migueletes al 2300 , Belgrano C , Capital Federal ,28000
 70 m² cubiertos , 3 ambs. , Catalina Marchi al 200 , Belgrano , Capital Federal ,37000
 70 m² cubiertos , 3 ambs. , Julian Alvarez al 2500 , Barrio Norte , Capital Federal ,30000
 145 m² cubiertos , 3 ambs. , Av. Libertador al 5400 , Belgrano , Capital Federal ,2300
 60 m² cubiertos , 3 ambs. , Av. Córdoba y Uruguay , Barrio Norte , Capital Federal ,68000
 70 m² cubiertos , 3 ambs. , Arroyo al 800 , Retiro , Capital Federal ,1300
 124 m² cubiertos , 3 ambs. , Juana Manso 1150 , Puerto Madero , Capital Federal ,1600
 110 m² cubiertos , 3 ambs. , Av. Alvear al 1700 , Recoleta , Capital Federal ,59000
 63 m² cubiertos , 3 ambs. , Mendoza al 5000 , Villa Urquiza , Capital Federal ,27000
 54 m² cubiertos , 3 ambs. , Aguilar 2390 , Colegiales , Capital Federal ,36000
