Mts^2, Ambientes, Address, Neighborhood, City, Price
 59 m² cubiertos , 3 ambs. , Av. Luis Maria Campos al 400 , Las Cañitas , Capital Federal ,48000
 68 m² cubiertos , 3 ambs. , Beruti al 3500 , Palermo , Capital Federal ,55000
 76 m² cubiertos , 3 ambs. , Uriarte 2300 , Palermo Soho , Capital Federal ,1100
 76 m² cubiertos , 3 ambs. , ALQUILER DEPTO. RETIRO 3 AMB + DEPENDENCIA C/BAÑO. , Retiro , Capital Federal ,28000
 63 m² cubiertos , 3 ambs. , Demaria al 4500 , Palermo , Capital Federal ,1100
 169 m² cubiertos , 4 ambs. , Sinclair al 3200 , Palermo Nuevo , Capital Federal ,3000
 130 m² cubiertos , 3 ambs. , Oro al 2800 , Palermo Chico , Capital Federal ,3700
 197 m² cubiertos , 4 ambs. , Trinidad Guevara al 300 , Puerto Madero , Capital Federal ,4500
 125 m² cubiertos , 3 ambs. , AV DEL LIBERTADOR al 2400 , Palermo , Capital Federal ,2500
 160 m² cubiertos , 3 ambs. , Cerrito 1100 , Recoleta , Capital Federal ,2100
 61 m² cubiertos , 3 ambs. , Cullen al 5000 , Villa Urquiza , Capital Federal ,36000
 125 m² cubiertos , 4 ambs. , Libertador al 1100 , Barrio Norte , Capital Federal ,45000
 108 m² cubiertos , 3 ambs. , Ocampo al 2600 , Palermo Chico , Capital Federal ,2800
 123 m² cubiertos , 4 ambs. , Esmeralda al 1300 , Recoleta , Capital Federal ,1290
 130 m² cubiertos , 3 ambs. , Ruggieri al 3000 , Palermo , Capital Federal ,2200
 78 m² cubiertos , 3 ambs. , Juana Manso 1500 5, Puerto Madero , Capital Federal ,105000
 98 m² cubiertos , 3 ambs. , Ortega y Gasset al 1900 , Las Cañitas , Capital Federal ,2100
 176 m² cubiertos , 3 ambs. , Juana MANSO al al 1100 , Puerto Madero , Capital Federal ,2500
 86 m² cubiertos , 3 ambs. , Fray Justo Sta. María de 2800 , Palermo Nuevo , Capital Federal ,1500
 130 m² cubiertos , 4 ambs. , Avenida Cerviño al 4500 Quartier Polo , Palermo Nuevo , Capital Federal ,2800
 91 m² cubiertos , 3 ambs. , Av. Segurola al 4400 , Villa Devoto , Capital Federal ,45000
 110 m² cubiertos , 3 ambs. , Migueletes al 800 , Las Cañitas , Capital Federal ,2200
 75 m² cubiertos , 3 ambs. , Olazabal al 2200 , Belgrano , Capital Federal ,90000
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Villa Ortúzar , Capital Federal ,25000
 150 m² cubiertos , 4 ambs. , Av. Alvear al 1500 , Recoleta , Capital Federal ,2000
 190 m² cubiertos , 3 ambs. , Marta Lynch al 400 , Puerto Madero , Capital Federal ,4000
 125 m² cubiertos , 3 ambs. , Av. del Libertador al 2400 , Palermo , Capital Federal ,1800
 91 m² cubiertos , 3 ambs. , Av. del Libertador al 5400 , Palermo , Capital Federal ,2000
 86 m² cubiertos , 3 ambs. , Fray Justo Sta Maria 2800 , Palermo Nuevo , Capital Federal ,2500
 130 m² cubiertos , 3 ambs. , Av. del Libertador al 2400 , Palermo Chico , Capital Federal ,2900
 180 m² cubiertos , 4 ambs. , av. libertador al 4900 , Las Cañitas , Capital Federal ,1900
 60 m² cubiertos , 3 ambs. , Ciudad De La Paz al 1800 , Belgrano , Capital Federal ,90000
 80 m² cubiertos , 3 ambs. , Guemes 3300 , Barrio Norte , Capital Federal ,3200
 175 m² cubiertos , 3 ambs. , Julieta Lantieri al 1200 , Puerto Madero , Capital Federal ,3200
 122 m² cubiertos , 3 ambs. , LIBERTADOR al 1700 , Palermo , Capital Federal ,2400
 130 m² cubiertos , 4 ambs. , Avenida Cerviño al 4500 Quartier Polo , Palermo Nuevo , Capital Federal ,2500
 80 m² cubiertos , 3 ambs. , Uruguay al 100 , San Nicolás , Capital Federal ,35000
 115 m² cubiertos , 4 ambs. , PACHECO DE MELO JOSE A. 1800 6, Recoleta , Capital Federal ,1000
 92 m² cubiertos , 3 ambs. , Escalabrini Ortiz al 3500 , Palermo , Capital Federal ,800
 70 m² cubiertos , 3 ambs. , Demaría al 4500 , Palermo , Capital Federal ,85000
 107 m² cubiertos , 3 ambs. , Ramsay al 1800 , Belgrano Chico , Capital Federal ,1500
 120 m² cubiertos , 3 ambs. , Parera al 100 , Recoleta , Capital Federal ,94000
 110 m² cubiertos , 4 ambs. , Congreso 2700 , Belgrano , Capital Federal ,55000
 98 m² cubiertos , 3 ambs. , Ortega y Gasset al 1900 , Palermo Chico , Capital Federal ,2100
 65 m² cubiertos , 3 ambs. , RUGGIERI al 2900 , Palermo , Capital Federal ,1800
 90 m² cubiertos , 3 ambs. , Callao al 1600 , Recoleta , Capital Federal ,1600
