Mts^2, Ambientes, Address, Neighborhood, City, Price
 63 m² cubiertos , 3 ambs. , Mario Bravo al 300 , Almagro , Capital Federal ,27000
 75 m² cubiertos , 3 ambs. , Culpina al 100 , Flores , Capital Federal ,24000
 65 m² cubiertos , 3 ambs. , rocha al 1500 , Barracas , Capital Federal ,17500
 131 m² cubiertos , 3 ambs. , Azucena Villaflor 500 , Puerto Madero , Capital Federal ,2100
 57 m² cubiertos , 3 ambs. , Av Crisologo Larralde al 1900 , Núñez , Capital Federal ,32000
 90 m² cubiertos , 3 ambs. , Juncal 1900 5° , Barrio Norte , Capital Federal ,39000
 80 m² cubiertos , 3 ambs. , AVELLANEDA al 3200 , Flores , Capital Federal ,18000
 75 m² cubiertos , 3 ambs. , Terrada 921 , Flores , Capital Federal ,28500
 70 m² cubiertos , 3 ambs. , Arce al 200 , Las Cañitas , Capital Federal ,40000
 68 m² cubiertos , 3 ambs. , Humberto Primo al 600 , San Telmo , Capital Federal ,23000
 65 m² cubiertos , 3 ambs. , Bolivia al 3000 , Villa del Parque , Capital Federal ,35000
 100 m² cubiertos , 3 ambs. , CALLAO AV. 1700 P.B., Recoleta , Capital Federal ,980
 70 m² cubiertos , 4 ambs. , Departamento Amoblado en Nuñez , Núñez , Capital Federal ,90000
 59 m² cubiertos , 3 ambs. , Amenabar 2800 , Belgrano , Capital Federal ,25000
 62 m² cubiertos , 3 ambs. , ciudad de la paz 2211 , Belgrano , Capital Federal ,28000
 55 m² cubiertos , 3 ambs. , Lascano 2900 , Villa del Parque , Capital Federal ,30000
 65 m² cubiertos , 3 ambs. , Avellaneda al 2600 , Flores , Capital Federal ,20000
 55 m² cubiertos , 3 ambs. , Billinghurst 200 , Almagro , Capital Federal ,20000
 60 m² cubiertos , 3 ambs. , GASCON al 1100 , Almagro , Capital Federal ,25000
 124 m² cubiertos , 3 ambs. , Gral. Indalecio Chenault 1900 , Las Cañitas , Capital Federal ,89500
 135 m² cubiertos , 3 ambs. , Azucena Villaflor 500 , Puerto Madero , Capital Federal ,1900
 65 m² cubiertos , 3 ambs. , Av Roosevelt al 2400 , Belgrano , Capital Federal ,30000
 126 m² cubiertos , 3 ambs. , Azucena Villaflor 500 , Puerto Madero , Capital Federal ,2700
 50 m² cubiertos , 3 ambs. , TUCUMAN 900 , San Nicolás , Capital Federal ,20000
 60 m² cubiertos , 3 ambs. , Bernardo de Yrigoyen al 1300 , Monserrat , Capital Federal ,25000
 110 m² cubiertos , 3 ambs. , Billinghurst al 2300 , Barrio Norte , Capital Federal ,42000
 65 m² cubiertos , 3 ambs. , Charcas al 3500 , Palermo , Capital Federal ,40000
 72 m² cubiertos , 3 ambs. , av diaz velez 4000 , Almagro , Capital Federal ,28000
 200 m² cubiertos , 3 ambs. , Juana Manso al 100 , Puerto Madero , Capital Federal ,2850
 82 m² cubiertos , 3 ambs. , Azcuenaga al 1300 , Recoleta , Capital Federal ,30000
 125 m² cubiertos , 3 ambs. , Aimé Painé al 1100 , Puerto Madero , Capital Federal ,5000
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Chacarita , Capital Federal ,25000
 50 m² cubiertos , 3 ambs. , Arévalo al 2900 , Las Cañitas , Capital Federal ,27000
 75 m² cubiertos , 3 ambs. , Terrada 921 , Floresta , Capital Federal ,28500
 99 m² totales , 3 ambs. , Republica Arabe Siria al 2900 , Palermo , Capital Federal ,55000
 62 m² cubiertos , 3 ambs. , Camargo al 700 , Villa Crespo , Capital Federal ,24500
 60 m² totales , 3 ambs. , Fray Justo Santa María de Oro al 2700 , Palermo , Capital Federal ,40000
 62 m² cubiertos , 3 ambs. , 25 de mayo al 700 , Retiro , Capital Federal ,24000
 100 m² cubiertos , 4 ambs. , Amenbar al 1800 , Belgrano , Capital Federal ,37000
 115 m² cubiertos , 3 ambs. , Av del Libertador al 3500 , Palermo Chico , Capital Federal ,80000
 75 m² cubiertos , 3 ambs. , Soler 6043 , Palermo Hollywood , Capital Federal ,40000
 84 m² cubiertos , 3 ambs. , Tucuman al 900 , San Nicolás , Capital Federal ,35000
 200 m² cubiertos , 4 ambs. , Av del Libertador al 4900 , Belgrano , Capital Federal ,1900
 94 m² cubiertos , 3 ambs. , Parera al 100 , Recoleta , Capital Federal ,40000
 85 m² cubiertos , 3 ambs. , Guemes 3300 , Palermo , Capital Federal ,100000
 80 m² cubiertos , 3 ambs. , Salta al 1500 , Constitución , Capital Federal ,18000
 60 m² cubiertos , 3 ambs. , av constituyentes 6264 , Villa Urquiza , Capital Federal ,22000
