Mts^2, Ambientes, Address, Neighborhood, City, Price
 80 m² cubiertos , 3 ambs. , Mario bravo 1200 , Palermo , Capital Federal ,35000
 63 m² cubiertos , 3 ambs. , Dorrego 2700 , Las Cañitas , Capital Federal ,40000
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Palermo , Capital Federal ,30346
 98 m² cubiertos , 3 ambs. , Laprida al 1800 , Recoleta , Capital Federal ,49000
 95 m² cubiertos , 3 ambs. , Serrano 800 , Chacarita , Capital Federal ,46800
 46 m² cubiertos , 3 ambs. , Aguilar 2800 6° , Colegiales , Capital Federal ,22000
 140 m² totales , 3 ambs. , Pueyrredon al 2400 , Barrio Norte , Capital Federal ,45000
 88 m² cubiertos , 3 ambs. , Scalabrini Ortiz al 2900 , Palermo , Capital Federal ,48000
 70 m² cubiertos , 3 ambs. , Santa Fe al 4900 , Palermo , Capital Federal ,2200
 55 m² cubiertos , 3 ambs. , ÁNGEL J. CARRANZA 2300 , Palermo Hollywood , Capital Federal ,24000
 128 m² cubiertos , 3 ambs. , Azucena Villaflor al 400 , Puerto Madero , Capital Federal ,150000
 81 m² cubiertos , 3 ambs. , Guemes 3355 , Palermo , Capital Federal ,2200
 78 m² cubiertos , 3 ambs. , Bolivar al 1000 , San Telmo , Capital Federal ,28000
 89 m² cubiertos , 3 ambs. , Quintana al 400 , Recoleta , Capital Federal ,40000
 65 m² cubiertos , 3 ambs. , Anchorena 1600 , Recoleta , Capital Federal ,40000
 95 m² cubiertos , 3 ambs. , Serrano 800 , Almagro , Capital Federal ,52000
 53 m² cubiertos , 3 ambs. , Nazarre al 2600 , Villa del Parque , Capital Federal ,27000
 60 m² cubiertos , 3 ambs. , OLAYA al 1100 , Caballito , Capital Federal ,20000
 110 m² cubiertos , 4 ambs. , Congreso 2700 , Belgrano R , Capital Federal ,60000
 64 m² cubiertos , 3 ambs. , DR. PEDRO IGNACIO RIVERA 4785 , Villa Ortúzar , Capital Federal ,36000
 120 m² cubiertos , 3 ambs. , Posadas al 1100 , Recoleta , Capital Federal ,59000
 56 m² cubiertos , 3 ambs. , MANSILLA 2600 , Barrio Norte , Capital Federal ,28000
 117 m² cubiertos , 4 ambs. , DEL LIBERTADOR AV. 900 4, Recoleta , Capital Federal ,68000
 117 m² cubiertos , 3 ambs. , QUARTIER ORO al 100 , Palermo , Capital Federal ,2300
 105 m² cubiertos , 3 ambs. , Av. Puerredon 2400 , Recoleta , Capital Federal ,45000
 78 m² cubiertos , 3 ambs. , Peru al 800 , San Telmo , Capital Federal ,50000
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Almagro , Capital Federal ,30346
 70 m² cubiertos , 3 ambs. , CORRIENTES 2300 , Once , Capital Federal ,24200
 74 m² cubiertos , 3 ambs. , Moldes 2100 , Belgrano , Capital Federal ,38000
 90 m² cubiertos , 3 ambs. , Juncal al 1300 , Recoleta , Capital Federal ,30000
 75 m² cubiertos , 3 ambs. , Cabrera al 3900 , Palermo , Capital Federal ,70000
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Flores , Capital Federal ,30346
 55 m² cubiertos , 3 ambs. , Mario Bravo 1111 , Almagro , Capital Federal ,23000
 64 m² cubiertos , 3 ambs. , DR. PEDRO IGNACIO RIVERA 4785 , Belgrano R , Capital Federal ,36000
 100 m² cubiertos , 3 ambs. , LIBERTAD 735 , San Nicolás , Capital Federal ,40000
 230 m² cubiertos , 3 ambs. , Santos Dumont 3400 , Colegiales , Capital Federal ,2800
 80 m² cubiertos , 3 ambs. , Riobamba 1100 4° , Barrio Norte , Capital Federal ,40000
 110 m² cubiertos , 4 ambs. , Congreso 2700 , Belgrano , Capital Federal ,60000
 97 m² cubiertos , 3 ambs. , Bolivar al 800 , San Telmo , Capital Federal ,30000
 100 m² cubiertos , 4 ambs. , Av. Quintana 100 6, Recoleta , Capital Federal ,70000
 106 m² cubiertos , 4 ambs. , POSADAS 1100 25, Recoleta , Capital Federal ,90000
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Paternal , Capital Federal ,30492
 80 m² cubiertos , 3 ambs. , Mario bravo 1200 , Recoleta , Capital Federal ,35000
 66 m² cubiertos , 3 ambs. , sucre 2970 , Belgrano R , Capital Federal ,35000
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Agronomía , Capital Federal ,30346
 76 m² cubiertos , 3 ambs. , Guemes al 3300 , Barrio Norte , Capital Federal ,140000
 60 m² cubiertos , 3 ambs. , H.Pueyrredon 700 , Caballito , Capital Federal ,30346
