Mts^2, Ambientes, Address, Neighborhood, City, Price
 100 m² cubiertos , 4 ambs. , Av. Callao al 1600 , Recoleta , Capital Federal ,62500
 79 m² cubiertos , 3 ambs. , Guatemala 5648 , Palermo Hollywood , Capital Federal ,85000
 100 m² cubiertos , 4 ambs. , FIGUEROA ALCORTA PRES. AV. 3000 9, Palermo , Capital Federal ,1300
 123 m² cubiertos , 3 ambs. , Camila O'GORMAN al al 300 , Puerto Madero , Capital Federal ,89000
 85 m² cubiertos , 3 ambs. , Vuelta de Obligado al 4600 , Núñez , Capital Federal ,34000
 75 m² cubiertos , 3 ambs. , Juan B Justo al 1000 , Palermo , Capital Federal ,1200
 128 m² cubiertos , 3 ambs. , Azucena Villaflor 550 , Puerto Madero , Capital Federal ,2700
 100 m² cubiertos , 3 ambs. , Republica Arabe Siria al 3300 , Palermo , Capital Federal ,60000
 125 m² cubiertos , 4 ambs. , Libertador al 1100 , Recoleta , Capital Federal ,58000
 70 m² cubiertos , 3 ambs. , AV Cramer al 1700 , Belgrano R , Capital Federal ,1500
 70 m² cubiertos , 3 ambs. , Paraguay al 800 , Retiro , Capital Federal ,24000
 170 m² cubiertos , 3 ambs. , Sinclair al 3200 , Palermo , Capital Federal ,2500
 90 m² cubiertos , 3 ambs. , Virrey Arredondo al 2200 , Belgrano C , Capital Federal ,47000
 65 m² cubiertos , 3 ambs. , Av Libertador al 6700 , Núñez , Capital Federal ,45000
 160 m² totales , 3 ambs. , Cerrito al 1100 , Recoleta , Capital Federal ,2200
 125 m² cubiertos , 3 ambs. , Aimé Painé al 1100 , Puerto Madero , Capital Federal ,5000
 115 m² cubiertos , 3 ambs. , Torre Art María Este , Puerto Madero , Capital Federal ,100000
 120 m² cubiertos , 3 ambs. , Cerviño al 4600 , Palermo , Capital Federal ,3900
 190 m² cubiertos , 4 ambs. , Copernico al 2300 , Recoleta , Capital Federal ,2500
 90 m² cubiertos , 3 ambs. , Juana Manso 1351 , Puerto Madero , Capital Federal ,1600
 140 m² totales , 3 ambs. , Pueyrredon al 2400 , Recoleta , Capital Federal ,45000
 182 m² cubiertos , 5 ambs. , Juez Tedin al 3000 , Palermo Chico , Capital Federal ,2000
 110 m² cubiertos , 3 ambs. , CAVIA 3000 12, Palermo , Capital Federal ,75000
 81 m² cubiertos , 3 ambs. , Boulonge Sur Mer 400 , Once , Capital Federal ,30000
 130 m² cubiertos , 4 ambs. , Paraná al 1100 , Recoleta , Capital Federal ,65000
 130 m² cubiertos , 3 ambs. , julieta lanteri al 1300 , Puerto Madero , Capital Federal ,3000
 165 m² cubiertos , 3 ambs. , Madero Plaza Juana Manso al 1500 , Puerto Madero , Capital Federal ,150000
 105 m² cubiertos , 5 ambs. , Av. Alvear al 1700 , Barrio Norte , Capital Federal ,63000
 120 m² cubiertos , 3 ambs. , Mendoza 955 , Belgrano Chico , Capital Federal ,900
 60 m² cubiertos , 3 ambs. , 11 de Septiembre 1630 , Belgrano Barrancas , Capital Federal ,32000
 75 m² cubiertos , 3 ambs. , Humboldt al 2000 , Palermo , Capital Federal ,2200
 184 m² cubiertos , 4 ambs. , Macacha güemes al 300 , Puerto Madero , Capital Federal ,3100
 90 m² cubiertos , 3 ambs. , Virrey del Pino al 2100 , Belgrano , Capital Federal ,2000
 210 m² cubiertos , 3 ambs. , COPERNICO al 2300 , Recoleta , Capital Federal ,2000
 91 m² cubiertos , 3 ambs. , Güemes 3355 , Palermo Soho , Capital Federal ,2200
 80 m² cubiertos , 3 ambs. , Azucena Villaflor al 400 , Puerto Madero , Capital Federal ,1000
 120 m² cubiertos , 3 ambs. , Parera al 100 , Barrio Norte , Capital Federal ,80000
 200 m² cubiertos , 3 ambs. , Sinclair 3200 , Palermo Chico , Capital Federal ,2500
 77 m² cubiertos , 3 ambs. , Aime Paine al 1600 , Puerto Madero , Capital Federal ,1150
 130 m² totales , 3 ambs. , Aime Paine al 1100 , Puerto Madero , Capital Federal ,3000
 254 m² cubiertos , 4 ambs. , Florida al 1000 , Retiro , Capital Federal ,2500
 89 m² cubiertos , 3 ambs. , Quintana al 400 , Barrio Norte , Capital Federal ,40000
 128 m² cubiertos , 3 ambs. , Arroyo al 800 , Retiro , Capital Federal ,1250
 184 m² cubiertos , 5 ambs. , Av. Figueroa Alcorta al 3000 , Palermo Chico , Capital Federal ,3500
 191 m² cubiertos , 3 ambs. , Julieta Lanteri al 1200 , Puerto Madero , Capital Federal ,3500
 118 m² cubiertos , 3 ambs. , Juana Manso al 100 , Puerto Madero , Capital Federal ,2100
 70 m² cubiertos , 3 ambs. , Dorrego al 2200 , Palermo Hollywood , Capital Federal ,42000
