Mts^2, Ambientes, Address, Neighborhood, City, Price
 50 m² cubiertos , 3 ambs. , Armenia 2152 , Palermo , Capital Federal ,25300
 95 m² cubiertos , 3 ambs. , Juan Maria Gutierrez 3900 , Palermo , Capital Federal ,75000
 60 m² cubiertos , 3 ambs. , JULIAN ALVAREZ 2100 , Palermo , Capital Federal ,36000
 67 m² cubiertos , 3 ambs. , Republica de la India al 3000 , Palermo , Capital Federal ,36000
 130 m² cubiertos , 3 ambs. , Av. Pueyrredon 2458 , Recoleta , Capital Federal ,900
 90 m² cubiertos , 3 ambs. , OLGA COSSETTINI 1300 , Puerto Madero , Capital Federal ,75000
 58 m² cubiertos , 3 ambs. , Montevideo al 1100 , Recoleta , Capital Federal ,15000
 72 m² cubiertos , 3 ambs. , Arenales al 1900 , Recoleta , Capital Federal ,45000
 65 m² cubiertos , 3 ambs. , corrientes 2100 , San Cristóbal , Capital Federal ,22000
 60 m² cubiertos , 3 ambs. , Bolivar al 400 , Monserrat , Capital Federal ,30000
 208 m² cubiertos , 3 ambs. , Macacha Güemes al 300 Madero Center , Puerto Madero , Capital Federal ,4500
 75 m² cubiertos , 3 ambs. , AV PUEYRREDON 700, Balvanera , Capital Federal ,26000
 67 m² cubiertos , 3 ambs. , JUNCAL 2166 , Recoleta , Capital Federal ,35000
 70 m² cubiertos , 3 ambs. , Asamblea al 1100 , Parque Chacabuco , Capital Federal ,22000
 184 m² cubiertos , 3 ambs. , Macacha Güemes al 300 , Puerto Madero , Capital Federal ,3700
 62 m² cubiertos , 3 ambs. , Quintino Bocayuva 900 , Boedo , Capital Federal ,27000
 140 m² cubiertos , 4 ambs. , Ayacucho al 1800 , Recoleta , Capital Federal ,1900
 184 m² cubiertos , 3 ambs. , Macacha Güemes al 300 Madero Center , Puerto Madero , Capital Federal ,3400
 184 m² cubiertos , 3 ambs. , Macacha Güemes al 300 , Puerto Madero , Capital Federal ,3400
 85 m² cubiertos , 3 ambs. , AV DE LA PLATA 279 , Caballito , Capital Federal ,33000
 105 m² cubiertos , 3 ambs. , Av. Puerredon 2400 , Recoleta , Capital Federal ,45000
 65 m² cubiertos , 3 ambs. , LA PAMPA 5021 , Villa Urquiza , Capital Federal ,33000
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Colegiales , Capital Federal ,30492
 55 m² cubiertos , 3 ambs. , ECHEVERRIA al 5800 , Villa Urquiza , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , Bauness 2000 2° , Villa Urquiza , Capital Federal ,26000
 55 m² cubiertos , 3 ambs. , Av.Triunvirato 3600 , Parque Chas , Capital Federal ,20000
 80 m² cubiertos , 3 ambs. , Paraná 1030 , Recoleta , Capital Federal ,26000
 3 m² cubiertos , 3 ambs. , MORENO al 2900 , Balvanera , Capital Federal ,25000
 168 m² cubiertos , 3 ambs. , marta salotti 500 , Puerto Madero , Capital Federal ,3500
 76 m² cubiertos , 3 ambs. , Agüero 1862 , Barrio Norte , Capital Federal ,38000
 80 m² cubiertos , 3 ambs. , Av. Corrientes 2900 , Balvanera , Capital Federal ,27900
 180 m² cubiertos , 4 ambs. , FIGUEROA ALCORTA PRES. AV. 3700 6, Palermo , Capital Federal ,2200
 70 m² cubiertos , 3 ambs. , Independencia al 1800 , Monserrat , Capital Federal ,26000
 70 m² cubiertos , 3 ambs. , Arroyo y Suipacha 000 , Retiro , Capital Federal ,2500
 80 m² cubiertos , 3 ambs. , Arroyo y Suipacha 000 , Retiro , Capital Federal ,2600
 45 m² cubiertos , 3 ambs. , Av. Velez Sarfield 161 , Parque Patricios , Capital Federal ,17000
 57 m² cubiertos , 3 ambs. , Avenida San Martin al 5000 , Villa del Parque , Capital Federal ,27000
 72 m² cubiertos , 3 ambs. , Arenales al 1900 , Barrio Norte , Capital Federal ,45000
 63 m² cubiertos , 3 ambs. , Venezuela 2061 , Balvanera , Capital Federal ,24000
 56 m² cubiertos , 3 ambs. , ACOYTE 600 , Caballito , Capital Federal ,27000
 78 m² cubiertos , 3 ambs. , DORREGO AV. 1800 8, Palermo , Capital Federal ,45000
 60 m² cubiertos , 3 ambs. , Helguera 350 , Flores , Capital Federal ,21500
 70 m² cubiertos , 3 ambs. , CAMACUA al 300 , Flores , Capital Federal ,27000
 60 m² cubiertos , 3 ambs. , Juramento 5200 2° , Villa Urquiza , Capital Federal ,27000
 53 m² cubiertos , 3 ambs. , Uriarte 2400 PB , Palermo Soho , Capital Federal ,35000
 65 m² cubiertos , 3 ambs. , RIGLOS al 700 , Caballito , Capital Federal ,35000
 60 m² cubiertos , 3 ambs. , Montevideo 300 , Congreso , Capital Federal ,20000
