Mts^2, Ambientes, Address, Neighborhood, City, Price
 60 m² cubiertos , 3 ambs. , Av Santa Fe 3721 , Palermo , Capital Federal ,59000
 181 m² cubiertos , 3 ambs. , Florida 1000 , Retiro , Capital Federal ,85000
 80 m² cubiertos , 4 ambs. , BERUTI 3000 2, Recoleta , Capital Federal ,32000
 44 m² cubiertos , 3 ambs. , Melian 3200 , Coghlan , Capital Federal ,19500
 133 m² cubiertos , 4 ambs. , CALLAO AV. 1500 7, Recoleta , Capital Federal ,78000
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Villa Urquiza , Capital Federal ,25000
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Belgrano , Capital Federal ,25000
 44 m² cubiertos , 3 ambs. , Zabala 1700 , Belgrano , Capital Federal ,23000
 100 m² cubiertos , 3 ambs. , Cabello 3200 , Palermo , Capital Federal ,48000
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Palermo , Capital Federal ,24200
 84 m² cubiertos , 3 ambs. , Montañeses 3150 , Núñez , Capital Federal ,1500
 72 m² cubiertos , 3 ambs. , Olazabal 5400 , Villa Urquiza , Capital Federal ,29800
 65 m² cubiertos , 3 ambs. , CRISOLOGO LARRALDE 2400 , Núñez , Capital Federal ,50000
 76 m² cubiertos , 3 ambs. , Agüero 1862 , Recoleta , Capital Federal ,38000
 72 m² cubiertos , 3 ambs. , Julian Alvarez 1800 , Palermo , Capital Federal ,37000
 53 m² cubiertos , 3 ambs. , Agüero 1500 , Barrio Norte , Capital Federal ,25000
 78 m² cubiertos , 3 ambs. , Chacabuco 500 , Monserrat , Capital Federal ,22000
 78 m² cubiertos , 3 ambs. , Av Santa Fe 2700 , Recoleta , Capital Federal ,35000
 67 m² cubiertos , 3 ambs. , CAMARGO al 1100 , Villa Crespo , Capital Federal ,22000
 85 m² cubiertos , 3 ambs. , Tuyu 100 1° , Liniers , Capital Federal ,22000
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Parque Chas , Capital Federal ,20000
 70 m² cubiertos , 3 ambs. , Otamendi 0 , Caballito , Capital Federal ,21000
 63 m² cubiertos , 3 ambs. , av. santa fe 4800 , Palermo , Capital Federal ,25000
 53 m² cubiertos , 3 ambs. , Av. San Juan al 3800 , Boedo , Capital Federal ,25000
 50 m² cubiertos , 3 ambs. , Malabia 2400 , Palermo , Capital Federal ,32000
 65 m² cubiertos , 3 ambs. , Billinghurst 1835 , Barrio Norte , Capital Federal ,33000
 57 m² cubiertos , 3 ambs. , HORTIGUERA 664 , Caballito , Capital Federal ,35000
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Villa Crespo , Capital Federal ,24200
 58 m² cubiertos , 3 ambs. , Felipe Vallese 400 18° , Caballito , Capital Federal ,33000
 80 m² cubiertos , 3 ambs. , Paraná 1000 , Recoleta , Capital Federal ,26000
 78 m² cubiertos , 3 ambs. , LARREA 864 , Barrio Norte , Capital Federal ,27000
 60 m² cubiertos , 3 ambs. , Helguera 350 , Flores , Capital Federal ,21500
 74 m² cubiertos , 4 ambs. , SOLDADO DE LA INDEPENDENCIA al 1400 , Belgrano , Capital Federal ,28000
 70 m² cubiertos , 3 ambs. , FONROUGE al 200 , Liniers , Capital Federal ,400
 49 m² cubiertos , 3 ambs. , Quince de Noviembre 1400 , Constitución , Capital Federal ,16000
 56 m² cubiertos , 3 ambs. , AV. DORREGO al 2600 , Palermo , Capital Federal ,35000
 47 m² cubiertos , 3 ambs. , Vidal 2400 7° , Belgrano , Capital Federal ,27000
 59 m² cubiertos , 3 ambs. , FIGUEROA ALCORTA PRES. AV. 3000 3, Palermo , Capital Federal ,40000
 70 m² cubiertos , 3 ambs. , julian alvarez 300 , Almagro , Capital Federal ,24200
 69 m² cubiertos , 3 ambs. , José Antonio Cabrera al 3900 Piso 9° , Palermo , Capital Federal ,39500
 78 m² cubiertos , 3 ambs. , Manuela Pedraza 2010 , Núñez , Capital Federal ,50000
 60 m² cubiertos , 3 ambs. , pedro lozano 2939 , Villa del Parque , Capital Federal ,30000
 71 m² cubiertos , 3 ambs. , acha 1653 , Villa Urquiza , Capital Federal ,35000
 43 m² cubiertos , 3 ambs. , Humberto I 1308 , Constitución , Capital Federal ,14500
 70 m² cubiertos , 3 ambs. , martiniano leguizamon 100 , Liniers , Capital Federal ,36000
 60 m² cubiertos , 3 ambs. , Helguera 350 , Flores , Capital Federal ,21500
 60 m² cubiertos , 3 ambs. , GARCIA DE COSSIO al 6800 , Liniers , Capital Federal ,18000
 60 m² cubiertos , 3 ambs. , O Higgins 2100 , Belgrano Barrancas , Capital Federal ,21000
