Mts^2, Ambientes, Address, Neighborhood, City, Price
 180 m² cubiertos , 3 ambs. , Avda. Del Libertador al 4900 , Las Cañitas , Capital Federal ,1900
 110 m² cubiertos , 3 ambs. , Arenales al 800 , Retiro , Capital Federal ,517
 75 m² cubiertos , 4 ambs. , Hipolito Yrigoyen al 2500 , Monserrat , Capital Federal ,23000
 102 m² cubiertos , 4 ambs. , Schiaffino al 2100 , Recoleta , Capital Federal ,70000
 60 m² cubiertos , 3 ambs. , San Isidro Labrador 4600 , Núñez , Capital Federal ,35500
 175 m² cubiertos , 3 ambs. , Clay al 3000 , Las Cañitas , Capital Federal ,2000
 67 m² cubiertos , 3 ambs. , Av Cramer 2500 , Belgrano , Capital Federal ,38000
 66 m² cubiertos , 3 ambs. , Paraguay al 1400 , Barrio Norte , Capital Federal ,26000
 65 m² cubiertos , 3 ambs. , Ramon Falcon 2500 , Flores , Capital Federal ,43700
 93 m² cubiertos , 3 ambs. , Coronel Diaz al 1500 , Palermo , Capital Federal ,990
 105 m² cubiertos , 5 ambs. , Av. Alvear al 1700 , Recoleta , Capital Federal ,63000
 63 m² cubiertos , 3 ambs. , Humboldt 1950 , Palermo , Capital Federal ,1800
 170 m² cubiertos , 3 ambs. , Demaria 4450 , Palermo , Capital Federal ,1200
 110 m² cubiertos , 3 ambs. , Juana Manso 1500 , Puerto Madero , Capital Federal ,1300
 90 m² totales , 3 ambs. , Av Cordoba al 1400 , San Nicolás , Capital Federal ,26000
 250 m² totales , 4 ambs. , Loft de Película en Puerto Madero , Puerto Madero , Capital Federal ,3000
 56 m² cubiertos , 3 ambs. , Ugarteche 3322 , Palermo , Capital Federal ,28000
 123 m² cubiertos , 4 ambs. , Posadas al 1100 , Recoleta , Capital Federal ,96000
 131 m² cubiertos , 3 ambs. , Azucena Villaflor al 500 , Puerto Madero , Capital Federal ,2100
 100 m² cubiertos , 2 ambs. , Sucre 2020 , Belgrano , Capital Federal ,50000
 70 m² cubiertos , 3 ambs. , Rodriguez Peña al 2000 , Recoleta , Capital Federal ,35000
 64 m² cubiertos , 3 ambs. , Rio de Janeiro al 1000 , Almagro , Capital Federal ,30000
 119 m² cubiertos , 3 ambs. , Posadas al 1100 , Recoleta , Capital Federal ,1000
 110 m² cubiertos , 3 ambs. , Av. Alvear al 1700 , Barrio Norte , Capital Federal ,59000
 95 m² cubiertos , 3 ambs. , Cerrito al 1500 y Posadas , Recoleta , Capital Federal ,35000
 113 m² cubiertos , 4 ambs. , CONDE al 1900 , Belgrano , Capital Federal ,100000
 69 m² totales , 3 ambs. , Jorge Luis Borges 2100 6ºB , Palermo , Capital Federal ,59000
 55 m² cubiertos , 3 ambs. , Av. Figueroa Alcorta al 3000 , Palermo Chico , Capital Federal ,35000
 91 m² cubiertos , 3 ambs. , Quartier del Polo, Las Cañitas , Capital Federal ,2100
 154 m² cubiertos , 3 ambs. , y Aime Paine , Puerto Madero , Capital Federal ,3600
 210 m² cubiertos , 4 ambs. , Aime Paine , Puerto Madero , Capital Federal ,3200
 106 m² cubiertos , 3 ambs. , Ortega Y Gasset 1625 , Palermo , Capital Federal ,2000
 70 m² totales , 3 ambs. , Av Santa fe al 5300 , Palermo , Capital Federal ,40000
 219 m² cubiertos , 3 ambs. , Juana Manso al 1100 , Puerto Madero , Capital Federal ,4000
 162 m² cubiertos , 3 ambs. , Alvear al 1500 , Recoleta , Capital Federal ,120000
 83 m² cubiertos , 3 ambs. , Juana Manso al 1300 , Puerto Madero , Capital Federal ,1300
 110 m² cubiertos , 3 ambs. , Esmeralda 1386 , Retiro , Capital Federal ,2000
 70 m² cubiertos , 3 ambs. , AV Cramer al 1700 , Belgrano , Capital Federal ,1500
 80 m² cubiertos , 3 ambs. , Cerviño al 4600 , Palermo , Capital Federal ,2500
 89 m² cubiertos , 3 ambs. , Quartier Sinclair, Palermo, Capital Federal ,1500
 156 m² cubiertos , 4 ambs. , Esmeralda al 1300 , Retiro , Capital Federal ,1900
 184 m² cubiertos , 4 ambs. , Libertad al 1600 , Recoleta , Capital Federal ,2700
 60 m² cubiertos , 3 ambs. , av de los Incas 4400 , Coghlan , Capital Federal ,25000
 85 m² cubiertos , 3 ambs. , CERVIÑO al 4700 , Palermo , Capital Federal ,100000
 60 m² cubiertos , 3 ambs. , Av Dorrego al 2600 , Las Cañitas , Capital Federal ,35000
 120 m² cubiertos , 3 ambs. , Av. Corrientes 5300 , Villa Crespo , Capital Federal ,45000
 150 m² cubiertos , 5 ambs. , Av. Alvear al 1400 , Recoleta , Capital Federal ,1100
 170 m² cubiertos , 3 ambs. , Ugarteche 2910 , Barrio Norte , Capital Federal ,1500
