Mts^2, Ambientes, Address, Neighborhood, City, Price
 50 m² cubiertos , 3 ambs. , VUELTA DE OBLIGADO 2450 , Belgrano , Capital Federal ,22000
 67 m² cubiertos , 3 ambs. , CNEL RAMON L. FALCON 2495 , Flores , Capital Federal ,20000
 34 m² cubiertos , 3 ambs. , Espinosa 2232 , Paternal , Capital Federal ,18900
 60 m² cubiertos , 3 ambs. , Av Directorio 600 , Caballito , Capital Federal ,27000
 55 m² cubiertos , 3 ambs. , Av Mosconi 2836 , Villa Pueyrredón , Capital Federal ,21000
 41 m² cubiertos , 3 ambs. , Av. Independencia 4000 , Almagro , Capital Federal ,19500
 50 m² cubiertos , 3 ambs. , Rivera indarte 181 , Flores , Capital Federal ,26000
 50 m² cubiertos , 3 ambs. , AMENABAR 3220 , Belgrano , Capital Federal ,26999
 45 m² cubiertos , 3 ambs. , Alberti 1600 , San Cristóbal , Capital Federal ,15500
 60 m² cubiertos , 3 ambs. , Av Australia 2942 , Barracas , Capital Federal ,20000
 51 m² cubiertos , 3 ambs. , DIRECTORIO 126 , Caballito , Capital Federal ,22000
 70 m² cubiertos , 3 ambs. , Pres. Tte. Gral. Juan Domingo Perón C1037ACH ADA, Balvanera , Capital Federal ,18000
 60 m² cubiertos , 3 ambs. , Argerich 3100 , Villa del Parque , Capital Federal ,20000
 57 m² cubiertos , 3 ambs. , Pavon 1950 , Constitución , Capital Federal ,18000
 60 m² cubiertos , 3 ambs. , Ortega y Gasset 1800 , Las Cañitas , Capital Federal ,35000
 57 m² cubiertos , 3 ambs. , AV CALLAO 300 , Congreso , Capital Federal ,20000
 60 m² cubiertos , 3 ambs. , Araoz Alfaro y Ambrosetti SN , Caballito , Capital Federal ,33000
 55 m² cubiertos , 3 ambs. , Trelles 900 , Caballito , Capital Federal ,22000
 100 m² cubiertos , 3 ambs. , República Árabe Siria 2920 , Botánico , Capital Federal ,70000
 67 m² cubiertos , 3 ambs. , VIRREY OLAGUER 2468 , Belgrano , Capital Federal ,25000
 27 m² cubiertos , 2 ambs. , San Luis 2850 , Barrio Norte , Capital Federal ,22000
 53 m² cubiertos , 3 ambs. , CABRERA 3840 , Palermo , Capital Federal ,35000
 50 m² cubiertos , 3 ambs. , Av. Forest 435 , Chacarita , Capital Federal ,8000
 54 m² cubiertos , 3 ambs. , Manuel Artigas 5196 , Villa Luro , Capital Federal ,17500
 51 m² cubiertos , 3 ambs. , Av. Escalada 20 , Villa Luro , Capital Federal ,18000
 70 m² cubiertos , 3 ambs. , Anchorena 1300 , Barrio Norte , Capital Federal ,26000
 80 m² cubiertos , 3 ambs. , Zequeira 6024 , Mataderos , Capital Federal ,14000
 60 m² cubiertos , 3 ambs. , Monroe 4521 , Villa Urquiza , Capital Federal ,34500
 55 m² cubiertos , 3 ambs. , Acoyte 91 , Caballito , Capital Federal ,20000
 75 m² cubiertos , 3 ambs. , AVENIDA LA PLATA 1300 , Boedo , Capital Federal ,30000
 72 m² cubiertos , 3 ambs. , PALESTINA 607 , Almagro , Capital Federal ,27000
 65 m² cubiertos , 3 ambs. , BALBIN 2600 , Belgrano , Capital Federal ,32500
 70 m² cubiertos , 3 ambs. , AV. ESCALADA 4300 , Villa Lugano , Capital Federal ,20000
 58 m² cubiertos , 3 ambs. , Jose luis cantilo 5037 , Villa Devoto , Capital Federal ,30000
 60 m² cubiertos , 3 ambs. , arenales 2800 , Barrio Norte , Capital Federal ,25000
 73 m² cubiertos , 3 ambs. , Avenida Garay 1264 , Constitución , Capital Federal ,17999
 76 m² cubiertos , 3 ambs. , Gurruchaga 274 , Villa Crespo , Capital Federal ,36000
 45 m² cubiertos , 3 ambs. , Álvarez Thomas 833 , Colegiales , Capital Federal ,20000
 60 m² cubiertos , 3 ambs. , CAMARONES 2800 , Villa del Parque , Capital Federal ,23000
 55 m² cubiertos , 3 ambs. , Esmeralda 900 , Retiro , Capital Federal ,18000
 78 m² cubiertos , 3 ambs. , terrada 925 , Flores , Capital Federal ,28000
 62 m² cubiertos , 3 ambs. , Sanchez de Bustamante 1880 , Barrio Norte , Capital Federal ,27500
 70 m² cubiertos , 3 ambs. , guemes 3756 , Palermo , Capital Federal ,29700
 48 m² cubiertos , 3 ambs. , Albarellos 2957 , Villa Pueyrredón , Capital Federal ,25000
 110 m² cubiertos , 3 ambs. , Virrey del pino 2100 , Belgrano , Capital Federal ,80000
 56 m² cubiertos , 3 ambs. , Cabildo 3200 , Belgrano , Capital Federal ,21900
 95 m² cubiertos , 4 ambs. , av. Corrientes 4800 , Villa Crespo , Capital Federal ,30000
 70 m² cubiertos , 3 ambs. , Av juan de garay 700 , San Telmo , Capital Federal ,25000
