Mts^2, Ambientes, Address, Neighborhood, City, Price
 170 m² cubiertos , 3 ambs. , Córdoba al 5400 , Palermo , Capital Federal ,2500
 79 m² cubiertos , 3 ambs. , Uriarte al 2300 , Palermo Soho , Capital Federal ,1200
 82 m² cubiertos , 3 ambs. , Dragones 2200 , Belgrano , Capital Federal ,1800
 54 m² cubiertos , 3 ambs. , Aguilar 2390 , Palermo , Capital Federal ,36000
 93 m² cubiertos , 3 ambs. , Coronel Diaz al 1500 , Barrio Norte , Capital Federal ,900
 95 m² cubiertos , 3 ambs. , Sinclair al 3000 , Palermo Chico , Capital Federal ,110000
 123 m² cubiertos , 3 ambs. , Camila O'GORMAN al al 400 , Puerto Madero , Capital Federal ,2300
 100 m² cubiertos , 3 ambs. , Migueletes 800 , Palermo , Capital Federal ,3000
 90 m² cubiertos , 3 ambs. , Viamonte al 2700 , Once , Capital Federal ,37000
 100 m² cubiertos , 4 ambs. , CALLAO AV. 1600 7, Barrio Norte , Capital Federal ,1600
 90 m² cubiertos , 3 ambs. , Callao al 1600 , Barrio Norte , Capital Federal ,1600
 115 m² cubiertos , 3 ambs. , Cerviño al 3000 , Palermo , Capital Federal ,3000
 56 m² cubiertos , 3 ambs. , Bulnes al 1900 , Palermo , Capital Federal ,40000
 92 m² cubiertos , 4 ambs. , Callao al 1300 , Recoleta , Capital Federal ,40000
 75 m² cubiertos , 3 ambs. , Guemes al 3300 , Palermo , Capital Federal ,1950
 110 m² cubiertos , 3 ambs. , Juana Manso 590 Piso 38 Oficina Sup. 120 Mts2 , Puerto Madero , Capital Federal ,2200
 161 m² cubiertos , 3 ambs. , Juana Manso al 1300 , Puerto Madero , Capital Federal ,2800
 95 m² cubiertos , 3 ambs. , Parera al 100 , Recoleta , Capital Federal ,65000
 100 m² cubiertos , 3 ambs. , Cerviño y Sinclair, Palermo , Capital Federal ,1750
 45 m² totales , 3 ambs. , Av Cordoba al 1300 , San Nicolás , Capital Federal ,18000
 95 m² cubiertos , 3 ambs. , Sinclair al 3000 , Palermo Chico , Capital Federal ,1100
 160 m² cubiertos , 3 ambs. , LIBERTADOR al 300 , Recoleta , Capital Federal ,3000
 125 m² cubiertos , 3 ambs. , Aime Paime al 1100 , Puerto Madero , Capital Federal ,5500
 130 m² cubiertos , 4 ambs. , Alvear al 1700 , Recoleta , Capital Federal ,1900
 110 m² cubiertos , 3 ambs. , Torres DEL Yatch 3 AMB Amobaldo Juana Manso 590 Piso 38 , Puerto Madero , Capital Federal ,2800
 177 m² cubiertos , 3 ambs. , Julieta Lanteri 1200 , Puerto Madero , Capital Federal ,3200
 108 m² cubiertos , 3 ambs. , Felipe Vallese 2751 , Floresta , Capital Federal ,48000
 70 m² cubiertos , 3 ambs. , Coronel Diaz al 2700 , Palermo , Capital Federal ,1000
 82 m² cubiertos , 3 ambs. , Av. Córdoba 5400 , Palermo Hollywood , Capital Federal ,100000
 177 m² cubiertos , 3 ambs. , Torre El Faro , Julieta Lanteri 1202 , Puerto Madero ,3200
 95 m² cubiertos , 3 ambs. , Sinclair al 3000 , Palermo , Capital Federal ,1100
 107 m² cubiertos , 3 ambs. , Manso Juana al 500 , Puerto Madero , Capital Federal ,1500
 169 m² cubiertos , 4 ambs. , Marcelo T de Alvear e/ Uriburu y Junín , Barrio Norte , Capital Federal ,1800
 58 m² cubiertos , 3 ambs. , Cordoba 5291 , Palermo , Capital Federal ,150000
 160 m² cubiertos , 3 ambs. , Alvear al 1800 y Callao , Recoleta , Capital Federal ,2500
 70 m² totales , 3 ambs. , Juana Manso al 1600 , Puerto Madero , Capital Federal ,78000
 100 m² cubiertos , 4 ambs. , Montevideo 1500 3, Barrio Norte , Capital Federal ,55000
 200 m² totales , 3 ambs. , Copernico al 2300 Duplex Amoblado , Recoleta , Capital Federal ,2000
 90 m² cubiertos , 3 ambs. , Av. Callao al 1400 , Recoleta , Capital Federal ,90000
 118 m² cubiertos , 4 ambs. , Cerviño al 4500 , Palermo , Capital Federal ,2500
 130 m² cubiertos , 3 ambs. , Cerviño al 4600 y Oro , Palermo , Capital Federal ,2500
 46 m² cubiertos , 3 ambs. , Piedras al 1300 , San Telmo , Capital Federal ,27000
 100 m² cubiertos , 4 ambs. , Laprida al 1800 Entre French y Peña , Recoleta , Capital Federal ,49000
 118 m² cubiertos , 3 ambs. , Martha SALOTTI al al 400 , Puerto Madero , Capital Federal ,1500
 182 m² cubiertos , 3 ambs. , Azucena Villaflor al 500 , Puerto Madero , Capital Federal ,3500
 95 m² cubiertos , 3 ambs. , Sinclair al 3000 , Palermo , Capital Federal ,110000
 85 m² cubiertos , 3 ambs. , Niceto Vega 5850 , Palermo Hollywood , Capital Federal ,1600
