Mts^2, Ambientes, Address, Neighborhood, City, Price
 87 m² cubiertos , 3 ambs. , Av Pueyrredón al 1700 , Barrio Norte , Capital Federal ,42000
 57 m² cubiertos , 3 ambs. , Ancon y Av. Dorrego , Las Cañitas , Capital Federal ,35000
 46 m² cubiertos , 3 ambs. , SCALABRINI ORTIZ al 1400 , Palermo Soho , Capital Federal ,30000
 60 m² cubiertos , 3 ambs. , Av. Juan de Garay al 500 , San Telmo , Capital Federal ,20000
 117 m² cubiertos , 3 ambs. , Martha SALOTTI al al 400 , Puerto Madero , Capital Federal ,1500
 60 m² cubiertos , 3 ambs. , Guardia Vieja , Almagro , Capital Federal ,36000
 75 m² cubiertos , 3 ambs. , Honorio Pueyrredon 843 , Caballito , Capital Federal ,32000
 114 m² cubiertos , 3 ambs. ,Avd. Alvear 1700, Recoleta , Capital Federal ,2000
 51 m² cubiertos , 3 ambs. , Republica De Eslovenia 100 , Las Cañitas , Capital Federal ,42000
 70 m² cubiertos , 3 ambs. , Bo. Olímpico , Blvd. José B. Zubiaur al 4400 , Villa Lugano ,18000
 80 m² cubiertos , 3 ambs. , Pacheco de Melo Jose A. al 2000 , Recoleta , Capital Federal ,36000
 190 m² cubiertos , 3 ambs. , Azucena Villaflor al 600 , Puerto Madero , Capital Federal ,250000
 75 m² cubiertos , 3 ambs. , AZCUENAGA al 1400 , Barrio Norte , Capital Federal ,35000
 90 m² cubiertos , 3 ambs. , JUAN FRANCISO SEGUI al 4600 , Palermo , Capital Federal ,160000
 90 m² cubiertos , 3 ambs. , Cerrito 1500 E/posadas y DEL Libertador , Recoleta , Capital Federal ,45000
 51 m² cubiertos , 3 ambs. , Republica De Eslovenia 1900 , Las Cañitas , Capital Federal ,42000
 75 m² cubiertos , 3 ambs. , Marcelo Torcuato de Alvear al 2000 , Barrio Norte , Capital Federal ,36000
 72 m² cubiertos , 3 ambs. , Sinclair al 3200 , Palermo , Capital Federal ,1300
 80 m² cubiertos , 3 ambs. , Esmeralda al 900 , Retiro , Capital Federal ,36000
 115 m² totales , 3 ambs. , Lola Mora al 400 , Puerto Madero , Capital Federal ,125000
 71 m² cubiertos , 3 ambs. , Honorio Pueyrredon al 800 , Caballito , Capital Federal ,32000
 182 m² cubiertos , 3 ambs. , Azucena Villaflor al 500 , Puerto Madero , Capital Federal ,3500
 65 m² cubiertos , 3 ambs. , O´HIGGINS al 2100 , Belgrano , Capital Federal ,30000
 80 m² cubiertos , 3 ambs. , Corvalán 900 3 Ambs al Frente Cochera Movil , Mataderos , Capital Federal ,22000
 139 m² cubiertos , 3 ambs. , LYNCH MARTA al 400 , Puerto Madero , Capital Federal ,5000
 61 m² cubiertos , 3 ambs. , Laprida al 1300 , Barrio Norte , Capital Federal ,32000
 70 m² cubiertos , 3 ambs. , Juncal 3500 , Barrio Norte , Capital Federal ,38500
 60 m² cubiertos , 3 ambs. ,Ramón Falcón 2600, Flores , Capital Federal ,20000
 70 m² cubiertos , 3 ambs. , Juncal 3500 , Palermo , Capital Federal ,38500
 66 m² cubiertos , 3 ambs. , Charcas al 4700 , Palermo Soho , Capital Federal ,50000
 87 m² cubiertos , 3 ambs. , Juan B Justo al 1000 , Palermo Hollywood , Capital Federal ,1600
 45 m² cubiertos , 3 ambs. , MORENO al 2900 , Balvanera , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , Edificio 6. Columna 2. 9no piso B. , Villa Riachuelo , Capital Federal ,14000
 62 m² cubiertos , 3 ambs. , JUNIN 400 , Almagro , Capital Federal ,25000
 50 m² cubiertos , 3 ambs. , Ayacucho 369 , Congreso , Capital Federal ,22000
 62 m² cubiertos , 3 ambs. , Sarmiento al 3800 , Almagro , Capital Federal ,23000
 97 m² cubiertos , 3 ambs. , FRENCH 2242 , Recoleta , Capital Federal ,60000
 54 m² cubiertos , 3 ambs. , AGUILAR 2600 , Belgrano , Capital Federal ,45000
 54 m² cubiertos , 3 ambs. , LARRAZABAL 100, Liniers , Capital Federal ,23000
 60 m² cubiertos , 3 ambs. , Peña 2700 , Barrio Norte , Capital Federal ,25000
 148 m² cubiertos , 3 ambs. , 11 DE SEPTIEMBRE DE 1888 al 1600 , Belgrano , Capital Federal ,2500
 35 m² cubiertos , 3 ambs. , Hidalgo 300 2° , Caballito , Capital Federal ,14500
 52 m² cubiertos , 3 ambs. , pueyrredon 700 , Caballito , Capital Federal ,30000
 53 m² cubiertos , 3 ambs. , Velez Sarsfield 161 , Barracas , Capital Federal ,17000
 57 m² cubiertos , 3 ambs. , CARRANZA 1400 , Palermo Hollywood , Capital Federal ,25000
 50 m² cubiertos , 3 ambs. , DIRECTORIO 4200 , Parque Avellaneda , Capital Federal ,15500
 54 m² cubiertos , 3 ambs. , Venezuela 1800 , Congreso , Capital Federal ,18500
 45 m² cubiertos , 3 ambs. , Monroe 4870 , Villa Urquiza , Capital Federal ,21000
