Mts^2, Ambientes, Address, Neighborhood, City, Price
 130 m² cubiertos , 3 ambs. , Quintana 80 , Recoleta , Capital Federal ,40000
 55 m² cubiertos , 3 ambs. , Cordoba 2448 , Barrio Norte , Capital Federal ,22000
 53 m² cubiertos , 3 ambs. , ARRIBEÑOS al 2200 , Belgrano , Capital Federal ,22000
 55 m² cubiertos , 3 ambs. , RIVADAVIA AV 8012 , Floresta , Capital Federal ,15880
 37 m² cubiertos , 2 ambs. , Santiago de las Carreras 45 , Floresta , Capital Federal ,16000
 84 m² cubiertos , 3 ambs. , Ramón L. Falcón 2500 , Flores , Capital Federal ,18000
 110 m² cubiertos , 4 ambs. , MAIPú 700 5, San Nicolás , Capital Federal ,23500
 70 m² cubiertos , 3 ambs. , MORENO 786 , Monserrat , Capital Federal ,17500
 70 m² cubiertos , 3 ambs. , Aime Paine 1635 , Puerto Madero , Capital Federal ,45000
 70 m² cubiertos , 3 ambs. , JosÉ Pedro Varela 4300 , Villa Devoto , Capital Federal ,28000
 62 m² cubiertos , 3 ambs. , EL SALVADOR 5512 , Palermo , Capital Federal ,25000
 65 m² cubiertos , 3 ambs. , bonifacio 2300 , Flores , Capital Federal ,17900
 65 m² cubiertos , 3 ambs. , Rodriguez Peña 110 , Congreso , Capital Federal ,21000
 70 m² cubiertos , 3 ambs. , MURGUIONDO al 1500 , Liniers , Capital Federal ,17000
 54 m² cubiertos , 3 ambs. , Avellaneda 1000 , Caballito , Capital Federal ,32000
 80 m² cubiertos , 3 ambs. , Juncal 2200 , Recoleta , Capital Federal ,25000
 80 m² cubiertos , 3 ambs. , AZARA al 600 , Barracas , Capital Federal ,22500
 63 m² cubiertos , 3 ambs. , BULNES 1800 5, Palermo , Capital Federal ,32000
 50 m² cubiertos , 3 ambs. , av escalada 37 , Villa Luro , Capital Federal ,15000
 50 m² cubiertos , 3 ambs. , Santiago del estero 1000 , Monserrat , Capital Federal ,18000
 62 m² cubiertos , 3 ambs. , SANTOS DUMONT 2719 , Colegiales , Capital Federal ,24000
 71 m² cubiertos , 3 ambs. , Vuelta de Obligado 4200 , Núñez , Capital Federal ,29000
 54 m² cubiertos , 3 ambs. , VALENTIN GOMEZ 3300 , Almagro , Capital Federal ,20000
 70 m² cubiertos , 3 ambs. , Av. Pedro Goyena 600 , Caballito , Capital Federal ,30000
 60 m² cubiertos , 3 ambs. , AV.ALBERDI J.B. al 7200 , Mataderos , Capital Federal ,18000
 65 m² cubiertos , 3 ambs. , alberdi 2600 , Flores , Capital Federal ,21000
 55 m² cubiertos , 3 ambs. , falcon 2600 , Flores , Capital Federal ,16900
 80 m² cubiertos , 3 ambs. , Lemos 200 , Chacarita , Capital Federal ,36000
 60 m² cubiertos , 3 ambs. ,JUAN B.  JUSTO 2225, Villa Crespo , Capital Federal ,20000
 52 m² cubiertos , 3 ambs. , Paraguay 3604 , Palermo , Capital Federal ,34000
 58 m² cubiertos , 3 ambs. , VEDIA al 1600 , Núñez , Capital Federal ,29000
 54 m² cubiertos , 3 ambs. , BONPLAND al 2200 , Palermo , Capital Federal ,30000
 50 m² cubiertos , 3 ambs. , CABILDO 4276 , Núñez , Capital Federal ,19000
 58 m² cubiertos , 3 ambs. , Emilio Lamarca 3100 , Villa del Parque , Capital Federal ,23000
 75 m² cubiertos , 3 ambs. , PICHINCHA 1300 , San Cristóbal , Capital Federal ,20000
 44 m² cubiertos , 3 ambs. , Escalada 1000 8° , Monte Castro , Capital Federal ,14000
 70 m² cubiertos , 3 ambs. , senillosa 1900 , Parque Chacabuco , Capital Federal ,21900
 54 m² cubiertos , 3 ambs. , Miralla 2200 , Mataderos , Capital Federal ,20000
 56 m² cubiertos , 3 ambs. , Jose Pedro Varela 4128 , Villa Devoto , Capital Federal ,20000
 85 m² cubiertos , 3 ambs. , Caseros 900 , Barracas , Capital Federal ,23000
 50 m² cubiertos , 3 ambs. , Avenida de los Incas 3900 , Villa Urquiza , Capital Federal ,24000
 55 m² cubiertos , 3 ambs. , Gral paz 8310 8310 , Villa Devoto , Capital Federal ,17500
 57 m² cubiertos , 3 ambs. , AMENABAR al 2800 , Belgrano , Capital Federal ,19000
 80 m² cubiertos , 3 ambs. , BRASIL al 100 , Barracas , Capital Federal ,18000
 64 m² cubiertos , 3 ambs. , Av saenz 400 , Parque Patricios , Capital Federal ,20000
 55 m² cubiertos , 3 ambs. , Nueva York 3393 , Villa Devoto , Capital Federal ,21000
 68 m² cubiertos , 3 ambs. , San Nicolas 4236 , Villa Devoto , Capital Federal ,27000
