Mts^2, Ambientes, Address, Neighborhood, City, Price
 68 m² cubiertos , 3 ambs. , Patron 5800 , Villa Luro , Capital Federal ,25800
 50 m² cubiertos , 3 ambs. , GUAYAQUIL al 100 , Caballito , Capital Federal ,22000
 70 m² cubiertos , 3 ambs. , Montañeses 1900 , Belgrano , Capital Federal ,26000
 40 m² cubiertos , 2 ambs. , Argerich 2900 , Villa del Parque , Capital Federal ,21000
 40 m² cubiertos , 3 ambs. , Carlos Calvo 600 2° , San Telmo , Capital Federal ,19000
 53 m² cubiertos , 3 ambs. , Yerbal 5126 , Villa Luro , Capital Federal ,16000
 62 m² cubiertos , 3 ambs. , RAMÓN FALCÓN 3400 , Floresta , Capital Federal ,17500
 60 m² cubiertos , 3 ambs. , Salguero 800 , Palermo , Capital Federal ,30000
 60 m² cubiertos , 3 ambs. , Avenida General Paz 13100 9° , Mataderos , Capital Federal ,16000
 53 m² cubiertos , 3 ambs. , Independencia al 4000 , Boedo , Capital Federal ,18000
 54 m² cubiertos , 3 ambs. , Escalada 19 , Villa Luro , Capital Federal ,17000
 45 m² cubiertos , 3 ambs. , Santander 3000 1° , Flores , Capital Federal ,18000
 40 m² cubiertos , 3 ambs. , Castelli 256 , Balvanera , Capital Federal ,16500
 44 m² cubiertos , 3 ambs. , Asunción 3214 , Villa del Parque , Capital Federal ,19500
 45 m² cubiertos , 3 ambs. , Santander 3000 1° , Flores , Capital Federal ,17000
 60 m² cubiertos , 3 ambs. , Membrillar 275 8º E,Flores,Capital Federal,18000
 50 m² cubiertos , 3 ambs. , Ciudad de la Paz 2900 , Belgrano , Capital Federal ,24000
 56 m² cubiertos , 3 ambs. , Rivadavia al 4700 , Caballito , Capital Federal ,17000
 47 m² cubiertos , 3 ambs. , Boedo 1707 , Boedo , Capital Federal ,20000
 71 m² cubiertos , 3 ambs. , Achaval 200 , Caballito , Capital Federal ,33000
 55 m² cubiertos , 3 ambs. , Rivadavia 3217 , Almagro , Capital Federal ,23000
 46 m² cubiertos , 3 ambs. , AV. Velez Sarsfield N° al 100 , Parque Patricios , Capital Federal ,16000
 56 m² cubiertos , 3 ambs. , AVDA.GAONA 1300 2, Caballito , Capital Federal ,28000
 50 m² cubiertos , 3 ambs. , Tacuari al 2000 , Barracas , Capital Federal ,19000
 50 m² cubiertos , 3 ambs. , Santander 3000 2° , Flores , Capital Federal ,17000
 70 m² cubiertos , 3 ambs. , Andrés Lamas 1947 , Paternal , Capital Federal ,20000
 80 m² cubiertos , 3 ambs. , Av. Directorio al 1300 , Caballito , Capital Federal ,24500
 60 m² cubiertos , 3 ambs. , Nicolas Repetto al 300 , Caballito , Capital Federal ,20000
 59 m² cubiertos , 3 ambs. , Vallejos al 4400 , Villa Devoto , Capital Federal ,29800
 53 m² cubiertos , 3 ambs. , Av. Rivadavia al 4390 ,Caballito, Capital Federal ,21000
 61 m² cubiertos , 3 ambs. , Estado de Israel al 4700 , Villa Crespo , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , Chile al 800 , San Telmo , Capital Federal ,24000
 55 m² cubiertos , 3 ambs. , Zapiola 2300 , Belgrano , Capital Federal ,30000
 57 m² cubiertos , 3 ambs. , lascano 2900 , Villa del Parque , Capital Federal ,30000
 65 m² cubiertos , 3 ambs. , sayos 5684 , Villa Lugano , Capital Federal ,18000
 56 m² cubiertos , 3 ambs. , Mendez de Andes 1793 , Caballito , Capital Federal ,21000
 40 m² cubiertos , 3 ambs. , Mexico 2000 PB , Balvanera , Capital Federal ,20000
 46 m² cubiertos , 3 ambs. , Av. Jujuy 2090 5ºB, Parque Patricios , Parque Patricios ,20000
 60 m² cubiertos , 3 ambs. , Panama 900 , Almagro , Capital Federal ,18000
 45 m² cubiertos , 3 ambs. , Santander 3000 1° , Flores , Capital Federal ,17000
 55 m² cubiertos , 3 ambs. , calderon de la barca 1476 , Monte Castro , Capital Federal ,21000
 60 m² cubiertos , 3 ambs. , Salguero 800 , Almagro , Capital Federal ,20000
 50 m² totales , 3 ambs. , Centenera al 600 , Caballito , Capital Federal ,19000
 50 m² cubiertos , 3 ambs. , Habana 4300 , Villa Devoto , Capital Federal ,20000
 80 m² cubiertos , 3 ambs. , Bulnes 1982 , Palermo , Capital Federal ,32000
 80 m² cubiertos , 3 ambs. , Dolores 9 , Floresta , Capital Federal ,18000
 54 m² cubiertos , 3 ambs. , Humberto 1° al 600 , San Telmo , Capital Federal ,23000
 60 m² cubiertos , 3 ambs. , Zabala 1700 , Belgrano , Capital Federal ,22000
