Mts^2, Ambientes, Address, Neighborhood, City, Price
 47 m² cubiertos , 3 ambs. , ZABALA 1700 , Belgrano , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , CALLAO Y CORRIENTES 441 , Balvanera , Capital Federal ,24000
 80 m² cubiertos , 3 ambs. , Virrey del Pino 2600 , Belgrano , Capital Federal ,31000
 49 m² cubiertos , 3 ambs. , Napoleon Uriburu 5769 , Villa Lugano , Capital Federal ,12900
 60 m² cubiertos , 3 ambs. , Rosario al 700 , Caballito , Capital Federal ,20000
 62 m² cubiertos , 3 ambs. , RAMÓN FALCÓN 3400 , Flores , Capital Federal ,17500
 66 m² cubiertos , 3 ambs. , Corrientes 5800 , Villa Crespo , Capital Federal ,25000
 55 m² cubiertos , 3 ambs. , Independencia 3177 , Boedo , Capital Federal ,18000
 110 m² cubiertos , 4 ambs. , Libertad al 1300 , Barrio Norte , Capital Federal ,2200
 61 m² cubiertos , 3 ambs. , CULLEN 4941 , Villa Urquiza , Capital Federal ,50000
 50 m² cubiertos , 3 ambs. , DEL LIBERTADOR AV al 6200 , Belgrano , Capital Federal ,17000
 56 m² cubiertos , 3 ambs. , Avellaneda 100 , Caballito , Capital Federal ,25000
 43 m² cubiertos , 3 ambs. , BOGOTA 261 , Caballito , Capital Federal ,17000
 64 m² cubiertos , 3 ambs. , AVDA FRANCISCO BEIRO al 4700 , Villa Devoto , Capital Federal ,25000
 68 m² cubiertos , 3 ambs. , Gral Hornos 840 , Barracas , Capital Federal ,20000
 94 m² cubiertos , 3 ambs. , POSADAS 1400 , Recoleta , Capital Federal ,38000
 65 m² cubiertos , 3 ambs. , LACARRA 472 , Floresta , Capital Federal ,23000
 51 m² cubiertos , 3 ambs. , Av. Honorio Pueyrredon 1120 , Caballito , Capital Federal ,21000
 46 m² cubiertos , 3 ambs. , Andres Vallejos 2500 , Villa Pueyrredón , Capital Federal ,20000
 60 m² cubiertos , 3 ambs. , Matheu al 1700 , Parque Patricios , Capital Federal ,18000
 62 m² cubiertos , 3 ambs. , Junin 410 , Balvanera , Capital Federal ,24000
 60 m² cubiertos , 3 ambs. , GORRITI al 3400 , Recoleta , Capital Federal ,22000
 54 m² cubiertos , 3 ambs. , Avenida larrazabal al 100 , Liniers , Capital Federal ,23000
 60 m² cubiertos , 3 ambs. , GORRITI al 3400 , Palermo , Capital Federal ,22000
 47 m² cubiertos , 3 ambs. , Tres Arroyos al 3900 , Floresta , Capital Federal ,19500
 53 m² cubiertos , 3 ambs. , Miller al 2500 , Villa Urquiza , Capital Federal ,25000
 74 m² cubiertos , 3 ambs. , Ruiz Huidobro 2600 , Núñez , Capital Federal ,52000
 60 m² cubiertos , 3 ambs. , aguilar al 2500 , Belgrano , Capital Federal ,20000
 83 m² cubiertos , 3 ambs. , Olga Cossettini 1350. 9*E , Puerto Madero , Capital Federal ,800
 118 m² cubiertos , 3 ambs. , Av Callao 1500 , Recoleta , Capital Federal ,60000
 65 m² cubiertos , 3 ambs. , Silvio L. Ruggieri al 2900 , Palermo , Capital Federal ,60000
 53 m² cubiertos , 3 ambs. , Avenida Rivadavia al 6200 , Flores , Capital Federal ,28000
 62 m² cubiertos , 3 ambs. , Solano Lopez 3300 1° , Villa Devoto , Capital Federal ,35000
 60 m² cubiertos , 3 ambs. , GASCON al 1100 , Palermo , Capital Federal ,25000
 110 m² cubiertos , 3 ambs. , Juana Manso 500 , Puerto Madero , Capital Federal ,125000
 78 m² cubiertos , 3 ambs. , MIGUELETES 1640 , Belgrano Barrancas , Capital Federal ,69000
 78 m² cubiertos , 3 ambs. , MIGUELETES 1640 , Belgrano Barrancas , Capital Federal ,75000
 55 m² cubiertos , 3 ambs. , Baez 250 , Las Cañitas , Capital Federal ,45000
 78 m² cubiertos , 3 ambs. , MIGUELETES 1640 , Belgrano Barrancas , Capital Federal ,69000
 57 m² cubiertos , 3 ambs. , Armenia al 2400 , Palermo , Capital Federal ,32000
 60 m² cubiertos , 3 ambs. , GORRITI al 3400 , Barrio Norte , Capital Federal ,22000
 69 m² cubiertos , 3 ambs. , Luis María Campos 86 6ºC , Palermo , Capital Federal ,37000
 95 m² cubiertos , 4 ambs. , Uriarte al 2200 , Palermo , Capital Federal ,50000
 86 m² totales , 3 ambs. , Avenida Pueyrredon al 1700 , Recoleta , Capital Federal ,38000
 70 m² cubiertos , 3 ambs. , SAN JUAN al 3900 , Boedo , Capital Federal ,37000
 60 m² cubiertos , 3 ambs. , GASCON al 1100 , Villa Crespo , Capital Federal ,25000
 62 m² cubiertos , 3 ambs. , GUISE , Palermo , Capital Federal ,35000
 65 m² cubiertos , 3 ambs. , CORONEL DIAZ al 2100 , Palermo , Capital Federal ,30000
